频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,未通过信息,相似度,是否假源,是否轮回,轮回相似度,轮回波动
[BD]cctv-6高清[geo-blocked],https://stream1.freetv.fun/cctv-6gao-qing-2.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001735955364_69.png,1.388,未分组,,,,无音频,疑似假源,0.4948,True,True,1.0,0.0
[HD]ช่อง eurosport 2,https://stream1.freetv.fun/ch-ng-eurosport-2-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/12/30/20151230055619280597_21.png,2.045,未分组,h264,1280x720,25.0,有音频,疑似假源,0.4792,True,True,1.0,0.0
[BD]cctv2,https://stream1.freetv.fun/cctv2-20.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001945876001_87.png,2.279,未分组,,,,无音频,error,0.0,False,False,0,0
[BD]cctv6,https://stream1.freetv.fun/cctv6-63.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001735955364_69.png,2.732,未分组,,,,有音频,error,0.0,False,False,0,0
[SD]pluto tv history,https://stream1.freetv.fun/pluto-tv-history-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/23/large/20220523014634644875_63.jpg,0.828,未分组,,,,无音频,error,0.0,False,False,0,0
[HD]ช่อง hgtv,https://stream1.freetv.fun/ch-ng-hgtv-1.m3u8,网络源,https://epg.pw/media/images/channel/2017/08/20/large/20170820230629325523_98.png,1.904,未分组,h264,1280x720,25.0,有音频,疑似假源,0.4792,True,True,1.0,0.0
[BD]cctv6,https://stream1.freetv.fun/cctv6-51.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001735955364_69.png,2.948,未分组,h264,,25.0,有音频,error,0.0,False,False,0,0
[BD]cctv15,https://stream1.freetv.fun/cctv15-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001529466715_75.png,3.145,未分组,,,,有音频,error,0.0,False,False,0,0
[BD]dw,https://stream1.freetv.fun/dw-4.m3u8,网络源,https://epg.pw/media/images/channel/2023/08/04/large/20230804235541065907_59.png,0.739,未分组,h264,1920x1080,50.0,有音频,error,0.0,False,False,0,0
[BD]chc家庭影院[geo-blocked],https://stream1.freetv.fun/chcjia-ting-ying-yuan-6.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720204118595367_23.png,1.124,未分组,h264,1920x1080,28.0,有音频,疑似假源,0.5,True,True,1.0,0.0
[HD]ช่อง dorcel tv,https://stream1.freetv.fun/ch-ng-dorcel-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/02/20150202091657261430_91.png,1.264,未分组,h264,1280x720,25.0,有音频,error,0.0,True,True,0,0
[BD]ictv2,https://stream1.freetv.fun/ictv2-1.ctv,网络源,https://epg.pw/media/images/channel/2023/10/10/large/20231010182927183581_38.jpg,3.259,未分组,h264,1920x1080,50.0,有音频,疑似假源,0.5,True,True,0.9896,0.0
[HD]euronews fr[geo-blocked],https://stream1.freetv.fun/euronews-fr-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/04/18/large/20220418232357149030_61.png,1.273,未分组,,,,无音频,error,0.0,False,False,0,0
