频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频
[BD]东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-3.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/22/large/20230722105657399125_36.png,1.713,未分组,h264,1920x1080,29.97002997002997,有音频
[BD]八大戏剧 *c[geo-blocked],https://stream1.freetv.fun/ba-da-xi-ju---c-1.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720155115252575_13.png,1.846,未分组,h264,1280x720,25.0,有音频
[BD]國會 1,https://stream1.freetv.fun/guo-hui--1-12.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/13/large/20220513171825260672_88.jpg,1.786,未分组,h264,1280x720,25.0,有音频
[BD]東森洋片 *wj,https://stream1.freetv.fun/dong-sen-yang-pian---wj-2.ctv,网络源,https://epg.pw/media/images/channel/2022/11/26/large/20221126212617272813_69.jpg,1.861,未分组,h264,1280x720,25.0,有音频
[VGA]cfm tv channel 98 (360p),https://stream1.freetv.fun/183ae690f700840b10150698fe392a22dd825db02a516d833a2dee978883bfbb.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806161730161952_53.jpg,2.105,未分组,h264,480x360,25.0,有音频
[BD]台视综合 *c[geo-blocked],https://stream1.freetv.fun/tai-shi-zong-he---c-1.ctv,网络源,https://epg.pw/media/images/channel/2022/02/26/large/20220226153847780456_55.png,2.215,未分组,h264,1280x720,25.0,有音频
[BD]lifetime,https://stream1.freetv.fun/lifetime-15.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/28/large/20240428174927817268_88.png,2.210,未分组,h264,1280x720,25.0,有音频
[BD]年代新聞 *wj,https://stream1.freetv.fun/nian-dai-xin-wen---wj-4.ctv,网络源,https://epg.pw/media/img/logo/2013/10/30/8889e6b27f2bf5143f6c0f3b0ec452f6.jpg,2.127,未分组,h264,1280x720,25.0,有音频
[BD]亞洲旅遊,https://stream1.freetv.fun/ya-zhou-lu-you-13.m3u8,网络源,https://epg.pw/media/images/channel/2018/03/11/large/20180311221333244935_31.png,3.100,未分组,h264,1920x1080,30.0,有音频
[BD]tvbs歡樂,https://stream1.freetv.fun/tvbshuan-le-6.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128055954129777_18.png,3.136,未分组,h264,1920x1080,30.0,有音频
[BD]台視新聞,https://stream1.freetv.fun/tai-shi-xin-wen-16.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/11/22/20161122123940121042_91.png,3.437,未分组,h264,1920x1080,30.0,有音频
[BD]tvbs台劇,https://stream1.freetv.fun/tvbstai-ju-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720162650498510_75.png,4.341,未分组,h264,1920x1080,30.0,有音频
[BD]博斯無限ii,https://stream1.freetv.fun/bo-si-wu-xian-ii-2.m3u8,网络源,https://epg.pw/media/images/channel/2016/12/23/large/20161223152025478432_98.jpg,3.032,未分组,h264,1280x720,30.0,有音频
[BD]龍華日韓,https://stream1.freetv.fun/long-hua-ri-han-3.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/11/large/20230711230359148592_68.jpg,4.902,未分组,h264,1920x1080,30.0,有音频
[BD]amc電影,https://stream1.freetv.fun/51fb50d3449471debee3625e99c7dfec6527889b9ead404b288fc285235d6d69.m3u8,网络源,https://epg.pw/media/images/channel/2024/02/22/large/20240222154625543566_76.png,2.648,未分组,h264,1920x1080,30.0,有音频
[BD]elta娛樂,https://stream1.freetv.fun/e803ebc8ce60d6d544566236afcb4f9c58652eddb175c3fe432308657b8ea033.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/03/large/20220803160524435551_37.jpg,3.043,未分组,h264,1920x1080,30.0,有音频
[BD]中天亞洲,https://stream1.freetv.fun/zhong-tian-ya-zhou-10.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/31/large/20250131032139085563_41.png,5.074,未分组,h264,1920x1080,30.0,有音频
[BD]靖洋卡通,https://stream1.freetv.fun/jing-yang-qia-tong-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/03/04/large/20220304215939266079_17.png,3.006,未分组,h264,1920x1080,30.0,有音频
[BD]寰宇新聞台灣,https://stream1.freetv.fun/huan-yu-xin-wen-tai-wan-5.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/24/large/20230724134538350977_27.png,5.280,未分组,h264,1920x1080,30.0,有音频
[BD]靖天戲劇,https://stream1.freetv.fun/jing-tian-xi-ju-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720211720021890_59.png,3.999,未分组,h264,1920x1080,30.0,有音频
[BD]tvbs,https://stream1.freetv.fun/tvbs-6.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720162650498510_75.png,5.800,未分组,h264,1920x1080,30.0,有音频
[BD]民視新聞,https://stream1.freetv.fun/min-shi-xin-wen-5.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506171601310367_14.png,1.668,未分组,h264,1280x720,25.0,有音频
[BD]tvbs綜藝,https://stream1.freetv.fun/tvbszong-yi-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/01/02/large/20240102024504364874_25.png,4.515,未分组,h264,1920x1080,30.0,有音频
[BD]民視影劇,https://stream1.freetv.fun/min-shi-ying-ju-4.m3u8,网络源,https://epg.pw/media/images/channel/2022/02/10/large/20220210223252835797_79.png,6.389,未分组,h264,1920x1080,29.97002997002997,有音频
[BD]tvbs新聞[geo-blocked],https://stream1.freetv.fun/tvbsxin-wen-6.ctv,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128055934838968_50.png,6.526,未分组,,,,无音频
[BD]民視,https://stream1.freetv.fun/min-shi-4.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/27/large/20221127000500162147_91.jpg,3.520,未分组,h264,1920x1080,30.0,有音频
[HD]ช่อง hgtv,https://stream1.freetv.fun/a857a9066d450f3c32451de2a3494e9c2b60fdf56de85dbcfc3b4e8a0590f7cd.m3u8,网络源,https://epg.pw/media/images/channel/2017/08/20/large/20170820230629325523_98.png,1.859,未分组,h264,1280x720,25.0,有音频
[BD]momo親子[geo-blocked],https://stream1.freetv.fun/momoqin-zi-2.ctv,网络源,https://epg.pw/media/img/logo/2013/10/30/bda3f89bec11e28ca511fc0f90e21ab3.jpg,6.722,未分组,,,,无音频
[BD]love nature,https://stream1.freetv.fun/b0000c4eb57bda1a3b5648b80522cabcc1bb196fb9ad2f34bc1e58b1608855a1.m3u8,网络源,https://epg.pw/media/images/channel/2023/02/05/large/20230205151332194260_50.jpg,3.887,未分组,h264,1920x1080,29.97002997002997,有音频
[BD]寰宇财经 *c[geo-blocked],https://stream1.freetv.fun/huan-yu-cai-jing---c-1.ctv,网络源,https://epg.pw/media/images/channel/2023/07/20/large/20230720210902132399_36.png,1.517,未分组,h264,1280x720,25.0,有音频
[BD]bbc earth us,https://stream1.freetv.fun/02205072306ac6c143d2707e909bda809deef2a1bda1923da9681ec5744f7081.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/17/large/20230717234812634336_85.jpg,7.456,未分组,h264,426x240,29.97002997002997,有音频
[BD]中視,https://stream1.freetv.fun/zhong-shi-8.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/26/large/20221126214137329410_57.jpg,3.113,未分组,h264,1920x1080,30.0,有音频
[BD]東森新聞,https://stream1.freetv.fun/dong-sen-xin-wen-3.m3u8,网络源,https://epg.pw/media/,8.164,未分组,h264,1920x1080,30.0,有音频
[BD]達文西,https://stream1.freetv.fun/da-wen-xi-7.m3u8,网络源,https://epg.pw/media/images/channel/2024/08/14/large/20240814042042678791_12.png,1.550,未分组,h264,1280x720,25.0,有音频
[BD]華視新聞,https://stream1.freetv.fun/hua-shi-xin-wen-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/05/08/20170508123606517919_39.png,6.764,未分组,h264,1920x1080,30.0,有音频
[BD]視納華仁紀實,https://stream1.freetv.fun/shi-na-hua-ren-ji-shi-5.m3u8,网络源,https://epg.pw/media/images/channel/2024/08/14/large/20240814093932687647_39.png,3.705,未分组,h264,1920x1080,30.0,有音频
[BD]影迷數位電影,https://stream1.freetv.fun/ying-mi-shu-wei-dian-ying-4.m3u8,网络源,https://epg.pw/media/images/channel/2025/08/01/large/20250801024940463178_43.jpeg,8.927,未分组,h264,1920x1080,30.0,有音频
[BD]國會 1,https://stream1.freetv.fun/guo-hui--1-6.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/13/large/20220513171825260672_88.jpg,9.015,未分组,h264,1920x1080,30.0,有音频
[BD]elta娛樂,https://stream1.freetv.fun/64f622094d33d45c9c491d12e1cfeca0b93cbdc078b0c01d35d50b86d335810a.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/03/large/20220803160524435551_37.jpg,9.188,未分组,h264,1920x1080,30.0,有音频
[BD]智林體育,https://stream1.freetv.fun/zhi-lin-ti-yu-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/10/large/20220510161417649264_37.jpg,2.767,未分组,h264,1280x720,30.0,有音频
[BD]ช่อง bbc earth,https://stream1.freetv.fun/c5d042d56862cb15b7c1d63632f4af1d1eef22b318719cc48d0190fa4225a6f0.m3u8,网络源,https://epg.pw/media/images/channel/2023/07/17/large/20230717234812634336_85.jpg,4.276,未分组,h264,426x240,29.97002997002997,有音频
[BD]亞洲旅遊[geo-blocked],https://stream1.freetv.fun/ya-zhou-lu-you-8.m3u8,网络源,https://epg.pw/media/images/channel/2018/03/11/large/20180311221333244935_31.png,9.828,未分组,h264,1920x1080,30.0,有音频
[BD]國會 2[geo-blocked],https://stream1.freetv.fun/guo-hui--2-6.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/13/large/20220513171909653190_67.jpg,3.959,未分组,h264,1280x720,30.0,有音频
[BD]b站王者荣耀[geo-blocked],https://stream1.freetv.fun/4f3046ab17777be04f83643f5b1eae554d78232fbbbd7453d34e04bd7527ccc3.ctv,网络源,https://epg.pw/media/images/channel/2022/02/10/large/20220210222702096387_48.png,3.798,未分组,h264,1920x1080,60.0,有音频
