频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
é»‘é¾™æ±Ÿå«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=N4bOtZ&tk=FgM0vQMejxvG,网络源,,20.232,未分组,,,,无音频,timeout
å¤§æ¹¾åŒºå«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=PGzbV7&tk=FgM0vQMejxvG,网络源,,20.003,未分组,,,,无音频,timeout
é’æµ·å«è§†,http://123.130.84.106:8154/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,20.003,未分组,,,,无音频,timeout
é»‘é¾™æ±Ÿå«è§†,http://dms.yryyj.site:8188/udp/239.76.246.200:1234,网络源,,20.003,未分组,,,,无音频,timeout
é»‘é¾™æ±Ÿå«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=YG3BDA&tk=FgM0vQMejxvG,网络源,,20.002,未分组,,,,无音频,timeout
å‡¤å‡°ä¸­æ–‡,http://dms.yryyj.site:8188/udp/239.76.246.135:1234,网络源,,20.002,未分组,,,,无音频,timeout
TVBæ— çº¿æ–°é—»,https://t.freetv.fun/live/wu-xian-xin-wen-2.m3u8,网络源,,20.003,未分组,,,,无音频,timeout
é’æµ·å«è§†,http://kkk.888.3116598.xyz/api.php?n=tttt&id=FoqTU6&tk=FgM0vQMejxvG,网络源,,20.002,未分组,,,,无音频,timeout
é’æµ·å«è§†,http://120.76.248.139/live/bfgd/4200000111.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
å‡¤å‡°èµ„è®¯,http://dms.yryyj.site:8188/udp/239.76.253.134:9000,网络源,,20.002,未分组,,,,无音频,timeout
å¤§æ¹¾åŒºå«è§†,http://gmxw.7766.org:808/hls/132/index.m3u8,网络源,,20.003,未分组,,,,无音频,timeout
é»‘é¾™æ±Ÿå«è§†,http://120.76.248.139/live/bfgd/4200000095.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
é’æµ·å«è§†,http://58.57.40.22:9901/tsfile/live/1057_1.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
NewTVçºªå®ç§‘æ•™,http://120.76.248.139/live/bfgd/4200000113.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
é‡åº†å«è§†,http://120.76.248.139/live/bfgd/4200000107.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
å¤§æ¹¾åŒºå«è§†,https://t.freetv.fun/live/da-wan-qu-wei-shi-1.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
é‡åº†å«è§†,http://61.136.172.236:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,20.002,未分组,,,,无音频,timeout
é»‘é¾™æ±Ÿå«è§†,http://123.130.84.106:8154/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,20.002,未分组,,,,无音频,timeout
å†œæ—å«è§†,http://120.76.248.139/live/bfgd/4200000122.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
é‡åº†å«è§†,http://58.57.40.22:9901/tsfile/live/0142_1.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
é»‘é¾™æ±Ÿå«è§†,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0,网络源,,20.003,未分组,,,,无音频,timeout
é™•è¥¿å«è§†,http://183.11.239.36:808/hls/58/index.m3u8,网络源,,20.003,未分组,,,,无音频,timeout
å…µå›¢å«è§†,http://120.76.248.139/live/bfgd/4200000124.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
ä¸­å¤©å¨±ä¹,http://61.221.215.25:8800/hls/47/index.m3u8,网络源,,20.005,未分组,,,,无音频,timeout
å†…è’™å¤å«è§†,http://120.76.248.139/live/bfgd/4200000110.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
Nowè´¢ç»,http://hls.168.us.kg/u/333/master.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
å†…è’™å¤å«è§†,https://stream1.freetv.fun/ac0f2b476395eb8e45c889a5743466f9428610d5da5ef76eba081aab72daa3ba.m3u8,网络源,,20.002,未分组,,,,无音频,timeout
