频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,失败原因
å¹¿ä¸œä½“è‚²,http://183.11.239.36:808/hls/2/index.m3u8,网络源,å¹¿ä¸œä½“è‚².png,20.265,未分组,,,,无音频,timeout
ç”˜è‚ƒå«è§†,http://183.11.239.36:808/hls/119/index.m3u8,网络源,ç”˜è‚ƒå«è§†.png,20.253,未分组,,,,无音频,timeout
CCTV-14,http://61.136.172.236:9901/tsfile/live/0014_1.m3u8,网络源,CCTV14.png,20.215,未分组,,,,无音频,timeout
CCTV-9,http://61.136.172.236:9901/tsfile/live/0009_1.m3u8,网络源,CCTV9.png,20.002,未分组,,,,无音频,timeout
CCTV-12,http://183.11.239.36:808/hls/30/index.m3u8,网络源,CCTV12.png,20.002,未分组,,,,无音频,timeout
CCTV-12,http://120.211.62.180:8000/hls/12/index.m3u8,网络源,CCTV12.png,20.003,未分组,,,,无音频,timeout
CCTV-6,http://61.136.172.236:9901/tsfile/live/0006_1.m3u8,网络源,CCTV6.png,20.002,未分组,,,,无音频,timeout
CCTV-4,http://120.211.62.180:8000/hls/4/index.m3u8,网络源,CCTV4.png,20.001,未分组,,,,无音频,timeout
CCTV-17,http://120.211.62.180:8000/hls/17/index.m3u8,网络源,CCTV17.png,20.002,未分组,,,,无音频,timeout
é»‘é¾™æ±Ÿå«è§†,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8,网络源,é»‘é¾™æ±Ÿå«è§†.png,20.003,未分组,,,,无音频,timeout
æ²³å—å«è§†,http://120.211.62.180:8000/hls/40/index.m3u8,网络源,æ²³å—å«è§†.png,20.002,未分组,,,,无音频,timeout
åŒ—äº¬å«è§†,http://120.211.62.180:8000/hls/35/index.m3u8,网络源,åŒ—äº¬å«è§†.png,20.002,未分组,,,,无音频,timeout
ä¸œå—å«è§†,http://61.136.172.236:9901/tsfile/live/0137_1.m3u8,网络源,ä¸œå—å«è§†.png,20.002,未分组,,,,无音频,timeout
å¹¿ä¸œæ°‘ç”Ÿ,http://183.11.239.36:808/hls/18/index.m3u8,网络源,å¹¿ä¸œæ°‘ç”Ÿ.png,20.007,未分组,,,,无音频,timeout
CCTV-1,http://183.11.239.36:808/hls/19/index.m3u8,网络源,CCTV1.png,20.002,未分组,,,,无音频,timeout
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8,网络源,CCTV1.png,20.002,未分组,,,,无音频,timeout
æ·±åœ³å«è§†,http://183.11.239.36:808/hls/45/index.m3u8,网络源,æ·±åœ³å«è§†.png,20.001,未分组,,,,无音频,timeout
å±±ä¸œå«è§†,http://120.211.62.180:8000/hls/38/index.m3u8,网络源,å±±ä¸œå«è§†.png,20.002,未分组,,,,无音频,timeout
CCTV-5+,http://120.211.62.180:8000/hls/18/index.m3u8,网络源,CCTV5+.png,20.002,未分组,,,,无音频,timeout
æ²³åŒ—å«è§†,http://120.211.62.180:8000/hls/19/index.m3u8,网络源,æ²³åŒ—å«è§†.png,20.002,未分组,,,,无音频,timeout
