原始名,标准名,拟匹配频道名,分组,来源,输出顺序,是否已维护
菏泽-2,菏泽-2,菏泽-2,待标准化,济南电信单播,未排序,否
环球旅游,环球旅游,环球旅游,待标准化,济南电信单播,未排序,否
桓台综合,桓台综合,桓台综合,待标准化,济南电信单播,未排序,否
黄岛生活,黄岛生活,黄岛生活,待标准化,济南电信单播,未排序,否
黄岛综合,黄岛综合,黄岛综合,待标准化,济南电信单播,未排序,否
惠民综合,惠民综合,惠民综合,待标准化,济南电信单播,未排序,否
纪实科教,纪实科教,纪实科教,待标准化,济南电信单播,未排序,否
济南都市,济南都市,济南都市,待标准化,济南电信单播,未排序,否
济南教育,济南教育,济南教育,待标准化,济南电信单播,未排序,否
济南鲁中,济南鲁中,济南鲁中,待标准化,济南电信单播,未排序,否
济南少儿,济南少儿,济南少儿,待标准化,济南电信单播,未排序,否
济南生活,济南生活,济南生活,待标准化,济南电信单播,未排序,否
济南体育,济南体育,济南体育,待标准化,济南电信单播,未排序,否
济南新闻,济南新闻,济南新闻,待标准化,济南电信单播,未排序,否
济南娱乐,济南娱乐,济南娱乐,待标准化,济南电信单播,未排序,否
济南综合,济南综合,济南综合,待标准化,济南电信单播,未排序,否
济宁高新,济宁高新,济宁高新,待标准化,济南电信单播,未排序,否
济宁公共,济宁公共,济宁公共,待标准化,济南电信单播,未排序,否
济宁生活,济宁生活,济宁生活,待标准化,济南电信单播,未排序,否
济宁综合,济宁综合,济宁综合,待标准化,济南电信单播,未排序,否
济阳综合,济阳综合,济阳综合,待标准化,济南电信单播,未排序,否
家庭理财,家庭理财,家庭理财,待标准化,济南电信单播,未排序,否
嘉佳卡通,嘉佳卡通,嘉佳卡通,待标准化,济南电信单播,未排序,否
嘉祥新闻,嘉祥新闻,嘉祥新闻,待标准化,济南电信单播,未排序,否
胶州综合,胶州综合,胶州综合,待标准化,济南电信单播,未排序,否
莒南综合,莒南综合,莒南综合,待标准化,济南电信单播,未排序,否
莒县综合,莒县综合,莒县综合,待标准化,济南电信单播,未排序,否
巨野新闻,巨野新闻,巨野新闻,待标准化,济南电信单播,未排序,否
卡酷少儿,卡酷少儿,卡酷少儿,待标准化,济南电信单播,未排序,否
快乐垂钓,快乐垂钓,快乐垂钓,待标准化,济南电信单播,未排序,否
莱西综合,莱西综合,莱西综合,待标准化,济南电信单播,未排序,否
兰陵公共,兰陵公共,兰陵公共,待标准化,济南电信单播,未排序,否
兰陵综合,兰陵综合,兰陵综合,待标准化,济南电信单播,未排序,否
岚山综合,岚山综合,岚山综合,待标准化,济南电信单播,未排序,否
崂山综合,崂山综合,崂山综合,待标准化,济南电信单播,未排序,否
梨园,梨园,梨园,待标准化,济南电信单播,未排序,否
历城综合,历城综合,历城综合,待标准化,济南电信单播,未排序,否
聊城民生,聊城民生,聊城民生,待标准化,济南电信单播,未排序,否
聊城综合,聊城综合,聊城综合,待标准化,济南电信单播,未排序,否
临清综合,临清综合,临清综合,待标准化,济南电信单播,未排序,否
临朐综合,临朐综合,临朐综合,待标准化,济南电信单播,未排序,否
临沭综合,临沭综合,临沭综合,待标准化,济南电信单播,未排序,否
临邑综合,临邑综合,临邑综合,待标准化,济南电信单播,未排序,否
龙口综合,龙口综合,龙口综合,待标准化,济南电信单播,未排序,否
魅力足球,魅力足球,魅力足球,待标准化,济南电信单播,未排序,否
蒙阴综合,蒙阴综合,蒙阴综合,待标准化,济南电信单播,未排序,否
牟平生活,牟平生活,牟平生活,待标准化,济南电信单播,未排序,否
牟平综合,牟平综合,牟平综合,待标准化,济南电信单播,未排序,否
内蒙古卫视,内蒙古卫视,内蒙古卫视,待标准化,济南电信单播,未排序,否
宁津综合,宁津综合,宁津综合,待标准化,济南电信单播,未排序,否
宁阳生活,宁阳生活,宁阳生活,待标准化,济南电信单播,未排序,否
宁阳综合,宁阳综合,宁阳综合,待标准化,济南电信单播,未排序,否
农林卫视,农林卫视,农林卫视,待标准化,济南电信单播,未排序,否
欧洲新闻,欧洲新闻,欧洲新闻,待标准化,济南电信单播,未排序,否
蓬莱综合,蓬莱综合,蓬莱综合,待标准化,济南电信单播,未排序,否
平度综合,平度综合,平度综合,待标准化,济南电信单播,未排序,否
平阴综合,平阴综合,平阴综合,待标准化,济南电信单播,未排序,否
平原综合,平原综合,平原综合,待标准化,济南电信单播,未排序,否
栖霞综合,栖霞综合,栖霞综合,待标准化,济南电信单播,未排序,否
