原始名,标准名,拟匹配频道名,分组,来源,输出顺序,是否已维护
[HD]东莞新闻综合,[HD]东莞新闻综合,[HD]东莞新闻综合,待标准化,网络源,未排序,否
[HD]东莞综合,[HD]东莞综合,[HD]东莞综合,待标准化,网络源,未排序,否
[HD]东森财经 *wj,[HD]东森财经 *wj,[HD]东森财经 *wj,待标准化,网络源,未排序,否
[HD]翡翠,[HD]翡翠,[HD]翡翠,待标准化,网络源,未排序,否
[HD]凤凰卫视 *wj,[HD]凤凰卫视 *wj,[HD]凤凰卫视 *wj,待标准化,网络源,未排序,否
[HD]凤凰香港 *wj,[HD]凤凰香港 *wj,[HD]凤凰香港 *wj,待标准化,网络源,未排序,否
[HD]凤凰中文 *wj,[HD]凤凰中文 *wj,[HD]凤凰中文 *wj,待标准化,网络源,未排序,否
[HD]广州法治,[HD]广州法治,[HD]广州法治,待标准化,网络源,未排序,否
[HD]广州综合,[HD]广州综合,[HD]广州综合,待标准化,网络源,未排序,否
[HD]韩国电影1,[HD]韩国电影1,[HD]韩国电影1,待标准化,网络源,未排序,否
[HD]韩国电影2,[HD]韩国电影2,[HD]韩国电影2,待标准化,网络源,未排序,否
[HD]好消息 *wj,[HD]好消息 *wj,[HD]好消息 *wj,待标准化,网络源,未排序,否
[HD]好消息2 *wj,[HD]好消息2 *wj,[HD]好消息2 *wj,待标准化,网络源,未排序,否
[HD]湖北卫视 *wj,[HD]湖北卫视 *wj,[HD]湖北卫视 *wj,待标准化,网络源,未排序,否
[HD]湖州娱乐,[HD]湖州娱乐,[HD]湖州娱乐,待标准化,网络源,未排序,否
[HD]華視,[HD]華視,[HD]華視,待标准化,网络源,未排序,否
[HD]淮北经济生活,[HD]淮北经济生活,[HD]淮北经济生活,待标准化,网络源,未排序,否
[HD]简阳新闻综合,[HD]简阳新闻综合,[HD]简阳新闻综合,待标准化,网络源,未排序,否
[HD]剧集,[HD]剧集,[HD]剧集,待标准化,网络源,未排序,否
[HD]丽江新闻综合,[HD]丽江新闻综合,[HD]丽江新闻综合,待标准化,网络源,未排序,否
[HD]泸州新闻综合,[HD]泸州新闻综合,[HD]泸州新闻综合,待标准化,网络源,未排序,否
[HD]眉山丹棱综合,[HD]眉山丹棱综合,[HD]眉山丹棱综合,待标准化,网络源,未排序,否
[HD]明珠,[HD]明珠,[HD]明珠,待标准化,网络源,未排序,否
[HD]南充科教生活,[HD]南充科教生活,[HD]南充科教生活,待标准化,网络源,未排序,否
[HD]南充综合,[HD]南充综合,[HD]南充综合,待标准化,网络源,未排序,否
[HD]内江科教生活,[HD]内江科教生活,[HD]内江科教生活,待标准化,网络源,未排序,否
[HD]内江综合,[HD]内江综合,[HD]内江综合,待标准化,网络源,未排序,否
[HD]人间卫视,[HD]人间卫视,[HD]人间卫视,待标准化,网络源,未排序,否
[HD]十堰经济旅游,[HD]十堰经济旅游,[HD]十堰经济旅游,待标准化,网络源,未排序,否
[HD]四平新闻综合,[HD]四平新闻综合,[HD]四平新闻综合,待标准化,网络源,未排序,否
[HD]苏州电影娱乐信息,[HD]苏州电影娱乐信息,[HD]苏州电影娱乐信息,待标准化,网络源,未排序,否
[HD]天映,[HD]天映,[HD]天映,待标准化,网络源,未排序,否
[HD]无锡宜兴新闻,[HD]无锡宜兴新闻,[HD]无锡宜兴新闻,待标准化,网络源,未排序,否
[HD]吴江新闻综合,[HD]吴江新闻综合,[HD]吴江新闻综合,待标准化,网络源,未排序,否
[HD]悬疑movie,[HD]悬疑movie,[HD]悬疑movie,待标准化,网络源,未排序,否
[HD]云南都市,[HD]云南都市,[HD]云南都市,待标准化,网络源,未排序,否
[HD]云南娱乐,[HD]云南娱乐,[HD]云南娱乐,待标准化,网络源,未排序,否
[HD]长春综合,[HD]长春综合,[HD]长春综合,待标准化,网络源,未排序,否
[SD]2x2,2x2,2x2,待确认分组,网络源,未排序,否
[SD]3030相声小品,[SD]3030相声小品,[SD]3030相声小品,待标准化,网络源,未排序,否
[SD]30a tv classic movies,30A Tv Classic Movies,30A Tv Classic Movies,待确认分组,网络源,未排序,否
[SD]365 дней,[SD]365 дней,[SD]365 дней,待标准化,网络源,未排序,否
[SD]3abn kids,3ABN Kids,3ABN Kids,待确认分组,网络源,未排序,否
[SD]4fun.tv,4 Fun Tv,4 Fun Tv,待确认分组,网络源,未排序,否
[SD]4tv news,4TV News,4TV News,待确认分组,网络源,未排序,否
[SD]5 канал,[SD]5 канал,[SD]5 канал,待标准化,网络源,未排序,否
[SD]6 tv telugu[geo-blocked],6 Tv Telugu,6 Tv Telugu,待确认分组,网络源,未排序,否
[SD]70s cinema,70s Cinema,70s Cinema,待确认分组,网络源,未排序,否
[SD]7s music,7S Music,7S Music,待确认分组,网络源,未排序,否
[SD]9 волна,[SD]9 волна,[SD]9 волна,待标准化,网络源,未排序,否
[SD]9x tashan,9X Tashan,9X Tashan,待确认分组,网络源,未排序,否
[SD]a e =,A&E,A&E,待确认分组,网络源,未排序,否
[SD]a e ==,A&E,A&E,待确认分组,网络源,未排序,否
[SD]abadan,[SD]abadan,[SD]abadan,待标准化,网络源,未排序,否
[SD]abc,Abc,Abc,待确认分组,网络源,未排序,否
[SD]abc 7 los angeles ca (kabc-tv) (720p),[SD]abc 7 los angeles ca (kabc-tv) (720p),[SD]abc 7 los angeles ca (kabc-tv) (720p),待标准化,网络源,未排序,否
[SD]abc news,Abc News,Abc News,待确认分组,网络源,未排序,否
[SD]abc news (720p),Abc News,Abc News,待确认分组,网络源,未排序,否
[SD]acnn (480p),Acnn,Acnn,待确认分组,网络源,未排序,否
[SD]action drama,[SD]action drama,[SD]action drama,待标准化,网络源,未排序,否
[SD]africanews english[geo-blocked],Africanews English,Africanews English,待确认分组,网络源,未排序,否
[SD]aftab,[SD]aftab,[SD]aftab,待标准化,网络源,未排序,否
[SD]al masar tv,Al Masar Tv,Al Masar Tv,待确认分组,网络源,未排序,否
[SD]alfa ⓢ,[SD]alfa ⓢ,[SD]alfa ⓢ,待标准化,网络源,未排序,否
[SD]alistiqama tv,Alistiqama Tv,Alistiqama Tv,待确认分组,网络源,未排序,否
[SD]amc =,Amc,Amc,待确认分组,网络源,未排序,否
[SD]amc ==,Amc,Amc,待确认分组,网络源,未排序,否
[SD]amedia 1,[SD]amedia 1,[SD]amedia 1,待标准化,网络源,未排序,否
[SD]amedia 2,[SD]amedia 2,[SD]amedia 2,待标准化,网络源,未排序,否
[SD]america's test kitchen,America's Test Kitchen,America's Test Kitchen,待确认分组,网络源,未排序,否
[SD]arirang,[SD]arirang,[SD]arirang,待标准化,网络源,未排序,否
[SD]atv,Atv,Atv,待确认分组,网络源,未排序,否
[SD]atv[geo-blocked],Atv,Atv,待确认分组,网络源,未排序,否
[SD]auto plus,Auto Plus,Auto Plus,待确认分组,网络源,未排序,否
[SD]baby shark tv (720p),Baby Shark Tv,Baby Shark Tv,待确认分组,网络源,未排序,否
[SD]baby tv *wj,[SD]baby tv *wj,[SD]baby tv *wj,待标准化,网络源,未排序,否
[SD]baran,[SD]baran,[SD]baran,待标准化,网络源,未排序,否
[SD]bbc america =,Bbc America,Bbc America,待确认分组,网络源,未排序,否
[SD]bbc america ==,Bbc America,Bbc America,待确认分组,网络源,未排序,否
[SD]bbc news,Bbc News,Bbc News,待确认分组,网络源,未排序,否
[SD]beverly hills 90210,Beverly Hills 90210,Beverly Hills 90210,待确认分组,网络源,未排序,否
[SD]bflix movies,Bflix Movies,Bflix Movies,待确认分组,网络源,未排序,否
[SD]bfm business,Bfm Business,Bfm Business,待确认分组,网络源,未排序,否
[SD]bfm tv,Bfm Tv,Bfm Tv,待确认分组,网络源,未排序,否
[SD]big ten network ==,Big Ten Network,Big Ten Network,待确认分组,网络源,未排序,否
[SD]big ten network=,Big Ten Network,Big Ten Network,待确认分组,网络源,未排序,否
[SD]billiard tv[geo-blocked],Billiard Tv,Billiard Tv,待确认分组,网络源,未排序,否
[SD]biznet lifestyle,Biznet Lifestyle,Biznet Lifestyle,待确认分组,网络源,未排序,否
[SD]black cinema,Black Cinema,Black Cinema,待确认分组,网络源,未排序,否
[SD]black classics,Black Classics,Black Classics,待确认分组,网络源,未排序,否
[SD]bloomberg =,[SD]bloomberg =,[SD]bloomberg =,待标准化,网络源,未排序,否
[SD]bloomberg ==,[SD]bloomberg ==,[SD]bloomberg ==,待标准化,网络源,未排序,否
[SD]bollywood[geo-blocked],Bollywood,Bollywood,待确认分组,网络源,未排序,否
[SD]boomerang (fr) *s[geo-blocked],Boomerang,Boomerang,待确认分组,网络源,未排序,否
[SD]bravo plus 1,[SD]bravo plus 1,[SD]bravo plus 1,待标准化,网络源,未排序,否
[SD]bride tv (576p),Bride Tv,Bride Tv,待确认分组,网络源,未排序,否
[SD]bridge,Bridge,Bridge,待确认分组,网络源,未排序,否
[SD]bridge classic,Bridge Classic,Bridge Classic,待确认分组,网络源,未排序,否
[SD]bridge hits,Bridge Hits,Bridge Hits,待确认分组,网络源,未排序,否
[SD]bridge tv,Bride Tv,Bride Tv,待确认分组,网络源,未排序,否
[SD]bridge tv classic,Bridge Classic,Bridge Classic,待确认分组,网络源,未排序,否
[SD]bridge tv rock,Bridge Rock,Bridge Rock,待确认分组,网络源,未排序,否
[SD]bridge tv rock[geo-blocked],Bridge Rock,Bridge Rock,待确认分组,网络源,未排序,否
[SD]bridge tv фрэш[geo-blocked],Bride Tv,Bride Tv,待确认分组,网络源,未排序,否
[SD]bridge tv шлягер,Bride Tv,Bride Tv,待确认分组,网络源,未排序,否
[SD]ca cartoon network,Cartoon Network,Cartoon Network,待确认分组,网络源,未排序,否
[SD]ca ctv comedy channel,Ctv Comedy Channel,Ctv Comedy Channel,待确认分组,网络源,未排序,否
[SD]canal 14 israel,[SD]canal 14 israel,[SD]canal 14 israel,待标准化,网络源,未排序,否
[SD]cape town tv (576p),Cape Town Tv,Cape Town Tv,待确认分组,网络源,未排序,否
[SD]cartoon network =[geo-blocked],Cartoon Network,Cartoon Network,待确认分组,网络源,未排序,否
[SD]cartoon network ==,Cartoon Network,Cartoon Network,待确认分组,网络源,未排序,否
[SD]cartoonito *m[geo-blocked],Cartoonito,Cartoonito,待确认分组,网络源,未排序,否
[SD]cbs network =,[SD]cbs network =,[SD]cbs network =,待标准化,网络源,未排序,否
[SD]cbs network ==,[SD]cbs network ==,[SD]cbs network ==,待标准化,网络源,未排序,否
[SD]cctv1,CCTV-1,CCTV-1,待确认分组,网络源,未排序,否
[SD]cctv11,CCTV-11,CCTV-11,待确认分组,网络源,未排序,否
[SD]cctv11-戏曲,[SD]cctv11-戏曲,[SD]cctv11-戏曲,待标准化,网络源,未排序,否
[SD]cctv-14[geo-blocked],CCTV-14,CCTV-14,待确认分组,网络源,未排序,否
[SD]cctv2,CCTV-2,CCTV-2,待确认分组,网络源,未排序,否
[SD]cctv3,CCTV-3,CCTV-3,待确认分组,网络源,未排序,否
[SD]cctv8,CCTV-8,CCTV-8,待确认分组,网络源,未排序,否
[SD]cetv4,CETV-4,CETV-4,待确认分组,网络源,未排序,否
[SD]cine premiere,Cine Premiere,Cine Premiere,待确认分组,网络源,未排序,否
[SD]cinema,Cinema,Cinema,待确认分组,网络源,未排序,否
[SD]cinemax,Cinemax,Cinemax,待确认分组,网络源,未排序,否
[SD]citytv,City Tv,City Tv,待确认分组,网络源,未排序,否
[SD]classic movies channel,Classic Movies Channel,Classic Movies Channel,待确认分组,网络源,未排序,否
[SD]classica[geo-blocked],Classica,Classica,待确认分组,网络源,未排序,否
[SD]cnt,[SD]cnt,[SD]cnt,待标准化,网络源,未排序,否
[SD]comedy central,Comedy Central,Comedy Central,待确认分组,网络源,未排序,否
[SD]comedy central animation,Comedy Central Animation,Comedy Central Animation,待确认分组,网络源,未排序,否
[SD]comedy central south park,Comedy Central South Park,Comedy Central South Park,待确认分组,网络源,未排序,否
[SD]concord tv (concord ca) (720p),Concord Tv,Concord Tv,待确认分组,网络源,未排序,否
[SD]crime 360 (720p)[geo-blocked],Crime 360,Crime 360,待确认分组,网络源,未排序,否
[SD]csi en español,Csi En Espanol,Csi En Espanol,待确认分组,网络源,未排序,否
[SD]csi[geo-blocked],Csi,Csi,待确认分组,网络源,未排序,否
[SD]ctv news channel,Ctv News Channel,Ctv News Channel,待确认分组,网络源,未排序,否
[SD]desenhos classicos,[SD]desenhos classicos,[SD]desenhos classicos,待标准化,网络源,未排序,否
[SD]discovery *m[geo-blocked],Discovery,Discovery,待确认分组,网络源,未排序,否
[SD]discovery science,Discovery Science,Discovery Science,待确认分组,网络源,未排序,否
[SD]discovery science *m[geo-blocked],Discovery Science,Discovery Science,待确认分组,网络源,未排序,否
[SD]disney channel,Disney Channel,Disney Channel,待确认分组,网络源,未排序,否
[SD]diy network =,[SD]diy network =,[SD]diy network =,待标准化,网络源,未排序,否
[SD]diy network ==,[SD]diy network ==,[SD]diy network ==,待标准化,网络源,未排序,否
[SD]dmax *m[geo-blocked],[SD]dmax *m[geo-blocked],[SD]dmax *m[geo-blocked],待标准化,网络源,未排序,否
[SD]docubox,Docubox,Docubox,待确认分组,网络源,未排序,否
[SD]dora tv,Dora Tv,Dora Tv,待确认分组,网络源,未排序,否
[SD]dream tv,Dream Tv,Dream Tv,待确认分组,网络源,未排序,否
[SD]e!entertainment =,Entertainment,Entertainment,待确认分组,网络源,未排序,否
[SD]euronews *m[geo-blocked],Euronews,Euronews,待确认分组,网络源,未排序,否
[SD]family ties,Family Ties,Family Ties,待确认分组,网络源,未排序,否
[SD]fightbox,Fightbox,Fightbox,待确认分组,网络源,未排序,否
[SD]filmbox,Filmbox,Filmbox,待确认分组,网络源,未排序,否
[SD]fish tv,Fish Tv,Fish Tv,待确认分组,网络源,未排序,否
[SD]food network *m[geo-blocked],Food Network,Food Network,待确认分组,网络源,未排序,否
[SD]fortuna tv,Fortuna Tv,Fortuna Tv,待确认分组,网络源,未排序,否
[SD]fox sports ==,Fox Sports,Fox Sports,待确认分组,网络源,未排序,否
[SD]fox sports ===,Fox Sports,Fox Sports,待确认分组,网络源,未排序,否
[SD]garfield and friends,Garfield And Friends,Garfield And Friends,待确认分组,网络源,未排序,否
[SD]gemini life,Gemini Life,Gemini Life,待确认分组,网络源,未排序,否
[SD]golf channel =,Golf Channel,Golf Channel,待确认分组,网络源,未排序,否
[SD]golf channel ==[geo-blocked],Golf Channel,Golf Channel,待确认分组,网络源,未排序,否
[SD]great american country,[SD]great american country,[SD]great american country,待标准化,网络源,未排序,否
[SD]gtn canada (1080i) [geo-blocked],Gtn Canada,Gtn Canada,待确认分组,网络源,未排序,否
[SD]gulli girl,Gulli Girl,Gulli Girl,待确认分组,网络源,未排序,否
[SD]hallmark en español,[SD]hallmark en español,[SD]hallmark en español,待标准化,网络源,未排序,否
[SD]hallmark movies more[geo-blocked],Hallmark Movies & More,Hallmark Movies & More,待确认分组,网络源,未排序,否
[SD]hbo-,Hbo,Hbo,待确认分组,网络源,未排序,否
[SD]hbo ===,Hbo,Hbo,待确认分组,网络源,未排序,否
[SD]hbo ====,Hbo,Hbo,待确认分组,网络源,未排序,否
[SD]hbo comedy ==,Hbo Comedy,Hbo Comedy,待确认分组,网络源,未排序,否
[SD]hbo comedy ===,Hbo Comedy,Hbo Comedy,待确认分组,网络源,未排序,否
[SD]hbo east *s[geo-blocked],[SD]hbo east *s[geo-blocked],[SD]hbo east *s[geo-blocked],待标准化,网络源,未排序,否
[SD]hbo family *m[geo-blocked],Hbo Family,Hbo Family,待确认分组,网络源,未排序,否
[SD]hbo zone,Hbo Zone,Hbo Zone,待确认分组,网络源,未排序,否
[SD]hbo zone *s[geo-blocked],Hbo Zone,Hbo Zone,待确认分组,网络源,未排序,否
[SD]hbo zone =,Hbo Zone,Hbo Zone,待确认分组,网络源,未排序,否
[SD]hbo zone ==,Hbo Zone,Hbo Zone,待确认分组,网络源,未排序,否
[SD]hell's kitchen,Hell's Kitchen,Hell's Kitchen,待确认分组,网络源,未排序,否
[SD]hell's kitchen (1080p),Hell's Kitchen,Hell's Kitchen,待确认分组,网络源,未排序,否
[SD]hollywood,Hollywood,Hollywood,待确认分组,网络源,未排序,否
[SD]hungama tv,Hungama Tv,Hungama Tv,待确认分组,网络源,未排序,否
[SD]id investigation discovery европа,Investigation Discovery,Investigation Discovery,待确认分组,网络源,未排序,否
[SD]india,India,India,待确认分组,网络源,未排序,否
[SD]investigation discovery *m[geo-blocked],Investigation Discovery,Investigation Discovery,待确认分组,网络源,未排序,否
[SD]iran press,Iran Press,Iran Press,待确认分组,网络源,未排序,否
[SD]irib 4,Irib 4,Irib 4,待确认分组,网络源,未排序,否
[SD]jaya tv,Jaya Tv,Jaya Tv,待确认分组,网络源,未排序,否
[SD]kerman,[SD]kerman,[SD]kerman,待标准化,网络源,未排序,否
[SD]khl,Khl,Khl,待确认分组,网络源,未排序,否
[SD]kino tv,Kino Tv,Kino Tv,待确认分组,网络源,未排序,否
[SD]kochu tv,Kochu Tv,Kochu Tv,待确认分组,网络源,未排序,否
[SD]leominster tv public (720p) [not 24/7],Leominster Tv Public,Leominster Tv Public,待确认分组,网络源,未排序,否
[SD]lifetime(tw)--,Lifetime,Lifetime,待确认分组,网络源,未排序,否
[SD]lifetime(tw)---[geo-blocked],Lifetime,Lifetime,待确认分组,网络源,未排序,否
[SD]light channel,Light Channel,Light Channel,待确认分组,网络源,未排序,否
[SD]long beach television (720p),[SD]long beach television (720p),[SD]long beach television (720p),待标准化,网络源,未排序,否
[SD]love boat,[SD]love boat,[SD]love boat,待标准化,网络源,未排序,否
[SD]love hip hop,Love & Hip Hop,Love & Hip Hop,待确认分组,网络源,未排序,否
[SD]luna tv,Luna Tv,Luna Tv,待确认分组,网络源,未排序,否
[SD]mbc 1,Mbc 1,Mbc 1,待确认分组,网络源,未排序,否
[SD]mbc 2,Mbc 2,Mbc 2,待确认分组,网络源,未排序,否
[SD]mbc 4,Mbc 4,Mbc 4,待确认分组,网络源,未排序,否
[SD]mbc 5,Mbc 5,Mbc 5,待确认分组,网络源,未排序,否
[SD]miami,Miao Mi,Miao Mi,待确认分组,网络源,未排序,否
[SD]miracle tv,Miracle Tv,Miracle Tv,待确认分组,网络源,未排序,否
[SD]mooz hits,Mooz Hits,Mooz Hits,待确认分组,网络源,未排序,否
[SD]motor trend,Motor Trend,Motor Trend,待确认分组,网络源,未排序,否
[SD]msnbc (720p),Msnbc,Msnbc,待确认分组,网络源,未排序,否
[SD]mtv (korea)=,Mtv,Mtv,待确认分组,网络源,未排序,否
[SD]mtv 2=,MTV2,MTV2,待确认分组,网络源,未排序,否
[SD]mtv classic[geo-blocked],Mtv Classic,Mtv Classic,待确认分组,网络源,未排序,否
[SD]mtv live,Mtv Live,Mtv Live,待确认分组,网络源,未排序,否
[SD]mtv live =,Mtv Live,Mtv Live,待确认分组,网络源,未排序,否
[SD]mtv live ==[geo-blocked],Mtv Live,Mtv Live,待确认分组,网络源,未排序,否
[SD]mtv live uhd *m[geo-blocked],[SD]mtv live uhd *m[geo-blocked],[SD]mtv live uhd *m[geo-blocked],待标准化,网络源,未排序,否
[SD]mtv music,Mtv Music,Mtv Music,待确认分组,网络源,未排序,否
[SD]nba tv =,Nba Tv,Nba Tv,待确认分组,网络源,未排序,否
[SD]nba tv ==,Nba Tv,Nba Tv,待确认分组,网络源,未排序,否
[SD]nick jr,Nick Jr.,Nick Jr.,待确认分组,网络源,未排序,否
[SD]nickelodeon,Nickelodeon,Nickelodeon,待确认分组,网络源,未排序,否
[SD]nickelodeon (uk) =,Nickelodeon,Nickelodeon,待确认分组,网络源,未排序,否
[SD]nickelodeon (uk) ==,Nickelodeon,Nickelodeon,待确认分组,网络源,未排序,否
[SD]nickelodeon[geo-blocked],Nickelodeon,Nickelodeon,待确认分组,网络源,未排序,否
[SD]nicktoons,Nicktoons,Nicktoons,待确认分组,网络源,未排序,否
[SD]nicktoons cis =,Nicktoons Cis,Nicktoons Cis,待确认分组,网络源,未排序,否
[SD]nicktoons cis ==,Nicktoons Cis,Nicktoons Cis,待确认分组,网络源,未排序,否
[SD]noor tv (720p),Noor Tv,Noor Tv,待确认分组,网络源,未排序,否
[SD]nour al sharq,Nour Al Sharq,Nour Al Sharq,待确认分组,网络源,未排序,否
[SD]noursat english,Noursat English,Noursat English,待确认分组,网络源,未排序,否
[SD]noursat mariam,[SD]noursat mariam,[SD]noursat mariam,待标准化,网络源,未排序,否
[SD]nuview tv,Nuview Tv,Nuview Tv,待确认分组,网络源,未排序,否
[SD]óčko star,K-Star,K-Star,待确认分组,网络源,未排序,否
[SD]ocko tv,[SD]ocko tv,[SD]ocko tv,待标准化,网络源,未排序,否
[SD]omid,[SD]omid,[SD]omid,待标准化,网络源,未排序,否
[SD]orf 1[geo-blocked],Orf 1,Orf 1,待确认分组,网络源,未排序,否
[SD]otv,Otv,Otv,待确认分组,网络源,未排序,否
[SD]outdoor channel =,Outdoor Channel,Outdoor Channel,待确认分组,网络源,未排序,否
[SD]outdoor channel ==,Outdoor Channel,Outdoor Channel,待确认分组,网络源,未排序,否
[SD]paramount movie channel,Paramount Movie Channel,Paramount Movie Channel,待确认分组,网络源,未排序,否
[SD]paramount plus picks,[SD]paramount plus picks,[SD]paramount plus picks,待标准化,网络源,未排序,否
[SD]phxtv,Phxtv,Phxtv,待确认分组,网络源,未排序,否
[SD]pluto tv classic movies,[SD]pluto tv classic movies,[SD]pluto tv classic movies,待标准化,网络源,未排序,否
[SD]pluto tv comedy movies,[SD]pluto tv comedy movies,[SD]pluto tv comedy movies,待标准化,网络源,未排序,否
[SD]pluto tv history,Pluto Tv History,Pluto Tv History,待确认分组,网络源,未排序,否
[SD]pluto tv retro kid,[SD]pluto tv retro kid,[SD]pluto tv retro kid,待标准化,网络源,未排序,否
[SD]pop *m[geo-blocked],[SD]pop *m[geo-blocked],[SD]pop *m[geo-blocked],待标准化,网络源,未排序,否
[SD]pop uk ==,[SD]pop uk ==,[SD]pop uk ==,待标准化,网络源,未排序,否
[SD]pop uk=,[SD]pop uk=,[SD]pop uk=,待标准化,网络源,未排序,否
[SD]qazaqstan international (1080p),Qazaqstan International,Qazaqstan International,待确认分组,网络源,未排序,否
[SD]qvc uk ⓢ,[SD]qvc uk ⓢ,[SD]qvc uk ⓢ,待标准化,网络源,未排序,否
[SD]radio 51 tv,Radio 51 Tv,Radio 51 Tv,待确认分组,网络源,未排序,否
[SD]raj digital plus,Raj Digital Plus,Raj Digital Plus,待确认分组,网络源,未排序,否
[SD]really *m[geo-blocked],Really,Really,待确认分组,网络源,未排序,否
[SD]rov tv (576p),Rov Tv,Rov Tv,待确认分组,网络源,未排序,否
[SD]rt documentary,Rt Documentary,Rt Documentary,待确认分组,网络源,未排序,否
[SD]rt news (1080p) [geo-blocked],Ert News,Ert News,待确认分组,网络源,未排序,否
[SD]rtl[geo-blocked],Rtl,Rtl,待确认分组,网络源,未排序,否
[SD]rts 1,Rts 1,Rts 1,待确认分组,网络源,未排序,否
[SD]rts 2,Rts 2,Rts 2,待确认分组,网络源,未排序,否
[SD]rtsh 1,Rtsh 1,Rtsh 1,待确认分组,网络源,未排序,否
[SD]rtsh sport,Rtsh Sport,Rtsh Sport,待确认分组,网络源,未排序,否
[SD]russia 24 international[geo-blocked],[SD]russia 24 international[geo-blocked],[SD]russia 24 international[geo-blocked],待标准化,网络源,未排序,否
[SD]sharjah sports (1080p) [geo-blocked],Sharjah Sports,Sharjah Sports,待确认分组,网络源,未排序,否
[SD]showtime east,[SD]showtime east,[SD]showtime east,待标准化,网络源,未排序,否
[SD]smithsonian channel =,Smithsonian Channel,Smithsonian Channel,待确认分组,网络源,未排序,否
[SD]smithsonian channel ==,Smithsonian Channel,Smithsonian Channel,待确认分组,网络源,未排序,否
[SD]smithsonian channel selects,Smithsonian Channel Selects,Smithsonian Channel Selects,待确认分组,网络源,未排序,否
[SD]sony max 2,Sony Max 2,Sony Max 2,待确认分组,网络源,未排序,否
[SD]sony sci-fi,[SD]sony sci-fi,[SD]sony sci-fi,待标准化,网络源,未排序,否
[SD]sony yay!,Sony Yay!,Sony Yay!,待确认分组,网络源,未排序,否
[SD]sony тв,[SD]sony тв,[SD]sony тв,待标准化,网络源,未排序,否
[SD]south park italy,[SD]south park italy,[SD]south park italy,待标准化,网络源,未排序,否
[SD]spectrum sportsnet =,Spectrum Sportsnet,Spectrum Sportsnet,待确认分组,网络源,未排序,否
[SD]spectrum sportsnet ==,Spectrum Sportsnet,Spectrum Sportsnet,待确认分组,网络源,未排序,否
[SD]spirit tv (720p) [not 24/7],Spirit Tv,Spirit Tv,待确认分组,网络源,未排序,否
[SD]sportsnet one-,Sportsnet One,Sportsnet One,待确认分组,网络源,未排序,否
[SD]sportsnet one--,Sportsnet One,Sportsnet One,待确认分组,网络源,未排序,否
[SD]star maa gold,Star Maa Gold,Star Maa Gold,待确认分组,网络源,未排序,否
[SD]star maa movies,Star Maa Movies,Star Maa Movies,待确认分组,网络源,未排序,否
[SD]star sports 3,Star Sports 3,Star Sports 3,待确认分组,网络源,未排序,否
[SD]starz encore *s[geo-blocked],Starz Encore,Starz Encore,待确认分组,网络源,未排序,否
[SD]starz encore =,Starz Encore,Starz Encore,待确认分组,网络源,未排序,否
[SD]starz encore ==,Starz Encore,Starz Encore,待确认分组,网络源,未排序,否
[SD]stryk tv (1080p),Stryk Tv,Stryk Tv,待确认分组,网络源,未排序,否
[SD]sun life,Sun Life,Sun Life,待确认分组,网络源,未排序,否
[SD]sun news,Sun News,Sun News,待确认分组,网络源,未排序,否
[SD]sunna tv (576p),Sunna Tv,Sunna Tv,待确认分组,网络源,未排序,否
[SD]surya music,Surya Music,Surya Music,待确认分组,网络源,未排序,否
[SD]syfy =,Syfy,Syfy,待确认分组,网络源,未排序,否
[SD]syfy ==,Syfy,Syfy,待确认分组,网络源,未排序,否
[SD]taiwan plus,Taiwan Plus Tv,Taiwan Plus Tv,待确认分组,网络源,未排序,否
[SD]tastemade international,[SD]tastemade international,[SD]tastemade international,待标准化,网络源,未排序,否
[SD]telepace 2 (1080p),Telepace 2,Telepace 2,待确认分组,网络源,未排序,否
[SD]telepace 4 (1080p),Telepace 4,Telepace 4,待确认分组,网络源,未排序,否
[SD]television caribbean (1080p),Television Caribbean,Television Caribbean,待确认分组,网络源,未排序,否
[SD]tennis channel,Tennis Channel,Tennis Channel,待确认分组,网络源,未排序,否
[SD]the 360 channel,[SD]the 360 channel,[SD]the 360 channel,待标准化,网络源,未排序,否
[SD]the design network (1080p),The Design Network,The Design Network,待确认分组,网络源,未排序,否
[SD]the first tv (1080p),The First Tv,The First Tv,待确认分组,网络源,未排序,否
[SD]thrillers 365,[SD]thrillers 365,[SD]thrillers 365,待标准化,网络源,未排序,否
[SD]tiji,Tiji,Tiji,待确认分组,网络源,未排序,否
[SD]top rank classics,[SD]top rank classics,[SD]top rank classics,待标准化,网络源,未排序,否
[SD]tsn 1 (usa)-,TSN1,TSN1,待确认分组,网络源,未排序,否
[SD]tsn 1 (usa)--,TSN1,TSN1,待确认分组,网络源,未排序,否
[SD]tsn 1 (usa) =,TSN1,TSN1,待确认分组,网络源,未排序,否
[SD]tsn 1 (usa) ==[geo-blocked],TSN1,TSN1,待确认分组,网络源,未排序,否
[SD]tv cultura,Tv Cultura,Tv Cultura,待确认分组,网络源,未排序,否
[SD]tv land drama,Tv Land Drama,Tv Land Drama,待确认分组,网络源,未排序,否
[SD]tv nova,Tv Nova,Tv Nova,待确认分组,网络源,未排序,否
[SD]tv senado,Tv Senado,Tv Senado,待确认分组,网络源,未排序,否
[SD]tv1000,TV1000,TV1000,待确认分组,网络源,未排序,否
[SD]tv21,TV21,TV21,待确认分组,网络源,未排序,否
[SD]tvt zgorzelec,Tvt Zgorzelec,Tvt Zgorzelec,待确认分组,网络源,未排序,否
