频道名,地址,来源,图标
云南卫视,http://btjg.net:809/hls/53/index.m3u8,网络源,
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8,网络源,
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8,网络源,
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8,网络源,
人生必看的科幻片,https://yylunbo.ottiptv.cc/yy/1382745114,网络源,
什邡新闻,http://live.sfrmt.com:85/live/zhpd.m3u8?zsicd,网络源,
优优宝贝,http://120.76.248.139/live/bfgd/4200000153.m3u8,网络源,
优漫卡通,http://119.32.12.17:2901/udp/224.1.100.119:11111,网络源,
使徒行者,http://www.douzhicloud.site:35455/huya/23734256,网络源,
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8,网络源,
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8,网络源,
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8,网络源,
光山综合,http://live.dxhmt.cn:9081/tv/11522-1.m3u8,网络源,
兰考新闻,http://live.dxhmt.cn:9081/tv/10225-1.m3u8,网络源,
兵团八师石河子新闻综合,http://124.88.144.73:1935/live/xwzh/playlist.m3u8?zxinjd,网络源,
内蒙古卫视,http://cssbyd.imwork.net:8082/hls/44/index.m3u8,网络源,
农林卫视,http://8.138.7.223/【公众号：榴芒电视】/农林卫视.m3u8,网络源,
冰冰影剧,http://www.douzhicloud.site:35455/douyu/74374,网络源,
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8,网络源,
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8,网络源,
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8,网络源,
刀刀影院,http://www.douzhicloud.site:35455/douyu/747764,网络源,
刑事侦缉档案,http://www.douzhicloud.site:35455/huya/29465856,网络源,
刘德华电影,http://www.douzhicloud.site:35455/huya/11342424,网络源,
创世纪,http://www.douzhicloud.site:35455/huya/29465852,网络源,
功夫电影,http://www.douzhicloud.site:35455/huya/11352941,网络源,
北京卫视,http://39.152.103.17:8089/tsfile/live/1034_1.m3u8,网络源,
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8,网络源,
华语影视,http://www.douzhicloud.site:35455/douyu/3928,网络源,
卫辉综合,http://live.dxhmt.cn:9081/tv/10781-1.m3u8,网络源,
古装武侠,http://www.douzhicloud.site:35455/douyu/2793084,网络源,
史诗级科幻电影阿凡达,https://yylunbo.ottiptv.cc/yy/1382735577,网络源,
周星驰电影,http://www.douzhicloud.site:35455/huya/11342412,网络源,
哈尔滨都市咨询,http://stream.hrbtv.net/zxpd/sd/live.m3u8?zheild,网络源,
哑巴竟然会说话,https://yylunbo.ottiptv.cc/yy/1354932427,网络源,
喜剧神妖魔鬼怪电影,https://yylunbo.ottiptv.cc/yy/1355171231,网络源,
四川卫视,http://39.152.103.17:8089/tsfile/live/1044_1.m3u8,网络源,
四川卫视,http://btjg.net:809/hls/48/index.m3u8,网络源,
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8,网络源,
四海钓鱼,http://120.76.248.139/live/bfgd/4200000229.m3u8,网络源,
固始综合,http://live.dxhmt.cn:9081/tv/11525-1.m3u8,网络源,
国内玄幻电影林正英,https://yylunbo.ottiptv.cc/yy/1354932444,网络源,
地理中国,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c6baf6f74bb944aeacee1065ea72c798/1200.m3u8,网络源,
夏洛特烦恼国内电影喜剧,https://yylunbo.ottiptv.cc/yy/1354936201,网络源,
大唐双龙传,http://www.douzhicloud.site:35455/huya/29465850,网络源,
大江大河2高分影视推荐,https://yylunbo.ottiptv.cc/yy/1382736797,网络源,
大江大河高分影视推荐,https://yylunbo.ottiptv.cc/yy/1382736806,网络源,
夹江新闻综合,http://tvfile.jjrm.org.cn/nmip-media/channellive/channel106282/playlist.m3u8?zsicd,网络源,
奇幻冒险电影凯斯宾王子的魔法征途,https://yylunbo.ottiptv.cc/yy/1354926671,网络源,
奎屯汉语,http://218.84.12.186:8001/hls/main/playlist.m3u8?zxinjd,网络源,
宇宙科幻合集,http://www.douzhicloud.site:35455/huya/11342428,网络源,
安徽导视,http://dspdhls.appcoo.com:8888/live/dspd/index.m3u8,网络源,
宜兴新闻,http://yixing-tv-ori-hls.jstv.com/yixing-tv-ori/yixing_xw.m3u8,网络源,
宜兴紫砂,http://3gvod.zjgonline.com.cn:1935/live/_definst_/xinwenzonghe_app/chunklist.m3u8,网络源,
宜阳综合,http://live.dxhmt.cn:9081/tv/10327-1.m3u8,网络源,
宝丰综合,http://live.dxhmt.cn:9081/tv/10421-1.m3u8,网络源,
寒战,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8,网络源,
射雕英雄传,http://www.douzhicloud.site:35455/huya/23824164,网络源,
常熟民生,http://3gvod.zjgonline.com.cn:1935/live/_definst_/shehuishenghuo_app/chunklist.m3u8,网络源,
广东体育,http://119.32.12.17:2901/udp/224.1.100.34:11111,网络源,
广东卫视,http://39.152.103.17:8089/tsfile/live/1042_1.m3u8,网络源,
广东卫视,http://btjg.net:809/hls/32/index.m3u8,网络源,
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8,网络源,
广东少儿,http://119.32.12.17:2901/udp/224.1.100.9:11111,网络源,
广东影视,http://119.32.12.17:2901/udp/224.1.100.11:11111,网络源,
广东新闻,http://119.32.12.17:2901/udp/224.1.100.5:11111,网络源,
广东民生,http://119.32.12.17:2901/udp/224.1.100.4:11111,网络源,
广东珠江,http://lu.wqwqwq.sbs/itv/2000000003000000033.m3u8?cdn=hnbblive,网络源,
广东珠江,http://119.32.12.17:2901/udp/224.1.100.23:11111,网络源,
广东经济科教,http://119.32.12.17:2901/udp/224.1.100.6:11111,网络源,
广安公共,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8,网络源,
广西卫视,http://39.152.103.17:8089/tsfile/live/1077_1.m3u8,网络源,
