频道名,地址,来源,图标,检测时间,分组,状态,状态码
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5968&tk=e503191f8e20,网络源,,,未分组,失败(None),
CCTV5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8493&tk=2aca1ad9a849,网络源,,,未分组,失败(None),
CCTV5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1665&tk=f6cc1e0a0e1a,网络源,,,未分组,失败(None),
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6179&tk=a0c4f6cfaba3,网络源,,,未分组,失败(None),
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6877&tk=e640d0a1bf70,网络源,,,未分组,失败(None),
CCTV3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7155&tk=b53028476470,网络源,,,未分组,失败(None),
CCTV5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8664&tk=e640d0a1bf70,网络源,,,未分组,失败(None),
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7928&tk=e503191f8e20,网络源,,,未分组,失败(None),
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8,网络源,,,未分组,失败(None),
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8237&tk=e640d0a1bf70,网络源,,,未分组,失败(None),
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8953&tk=a0c4f6cfaba3,网络源,,,未分组,失败(None),
CCTV5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2055&tk=b53028476470,网络源,,,未分组,失败(None),
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7689&tk=e503191f8e20,网络源,,,未分组,失败(None),
CCTV3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3440&tk=e640d0a1bf70,网络源,,,未分组,失败(None),
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2159&tk=f6cc1e0a0e1a,网络源,,,未分组,失败(None),
CCTV5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7850&tk=e640d0a1bf70,网络源,,,未分组,失败(None),
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3383&tk=f6cc1e0a0e1a,网络源,,,未分组,失败(None),
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8,网络源,,,未分组,失败(None),
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8,网络源,,,未分组,失败(None),
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2050&tk=e503191f8e20,网络源,,,未分组,失败(None),
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4701&tk=b53028476470,网络源,,,未分组,失败(None),
CCTV1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4539&tk=e640d0a1bf70,网络源,,,未分组,失败(None),
CCTV2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4070&tk=e640d0a1bf70,网络源,,,未分组,失败(None),
CCTV1,http://223.145.224.76:8000/udp/239.76.246.151:1234,网络源,,,未分组,失败(None),
CCTV3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9537&tk=b53028476470,网络源,,,未分组,失败(None),
CCTV5,http://223.159.9.168:8099/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0,网络源,,,未分组,失败(None),
CCTV5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5855&tk=a0c4f6cfaba3,网络源,,,未分组,失败(None),
CCTV4,http://223.145.224.76:8000/udp/239.76.253.154:9000,网络源,,,未分组,失败(None),
CCTV4,http://223.145.224.76:8000/udp/239.76.253.96:9000,网络源,,,未分组,失败(None),
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5918&tk=b53028476470,网络源,,,未分组,失败(None),
CCTV4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4318&tk=e503191f8e20,网络源,,,未分组,失败(None),
