频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
[HD]yes network,https://stream1.freetv.fun/yes-network-3.m3u8,网络源,https://epg.pw/media/images/channel/2017/09/17/large/20170917225055829014_84.jpg,4.474,未分组,h264,1280x720,59.94005994005994,有音频,0.4375
[BD]extreme plus[geo-blocked],https://stream1.freetv.fun/extreme-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,1.494,未分组,h264,1280x720,25.0,有音频,0.4375
[BD]cctv10,https://stream1.freetv.fun/cctv10-19.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001612572151_13.png,2.634,未分组,h264,1920x1080,25.0,有音频,0.0
[BD]africa 24 ᴴᴰ,https://stream1.freetv.fun/africa-24-hd-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104534160761_51.png,5.396,未分组,h264,1920x1080,50.0,有音频,0.4688
[BD]boomerang *m[geo-blocked],https://stream1.freetv.fun/boomerang--m-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/30/large/20250130005610442704_21.png,3.011,未分组,h264,1920x1080,25.0,有音频,0.7188
[HD]abc news,https://stream1.freetv.fun/abc-news-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/10/09/20171009012506131666_63.png,1.503,未分组,h264,1280x720,25.0,有音频,0.4688
[SD]america's test kitchen,https://stream1.freetv.fun/america-s-test-kitchen-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,2.065,未分组,h264,426x240,30.0,有音频,0.5781
[HD]boing[geo-blocked],https://stream1.freetv.fun/boing-4.m3u8,网络源,https://epg.pw/media/images/channel/2015/11/28/large/20151128175122054896_87.jpg,1.517,未分组,h264,1280x720,25.0,有音频,0.5
[BD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174154957657_95.png,1.515,未分组,h264,1280x720,25.0,有音频,0.6094
[HD]cctv3[geo-blocked],https://stream1.freetv.fun/cctv3-26.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001936710108_56.png,5.993,未分组,h264,1280x720,25.0,有音频,0.5
ä¹Œé•‡è¥¿å¸‚æ²³,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8,网络源,,3.505,未分组,h264,1280x720,25.0,有音频,0.8438
[BD]amc thrillers ==,https://stream1.freetv.fun/amc-thrillers-4.ctv,网络源,https://epg.pw/media/images/channel/2022/04/01/large/20220401234506250664_19.png,1.578,未分组,h264,1920x1080,29.97002997002997,有音频,0.6406
[SD]cbs news bay area (720p),https://stream1.freetv.fun/cbs-news-bay-area-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,2.755,未分组,h264,1280x720,29.97002997002997,有音频,0.5469
[SD]love boat,https://stream1.freetv.fun/love-boat-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/04/20/20150420071750455994_44.jpg,2.251,未分组,h264,426x240,30.0,有音频,0.6562
[VGA]cnn portugal,https://stream1.freetv.fun/cnn-portugal-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/01/05/20160105172214347909_95.jpg,1.596,未分组,h264,1280x720,25.0,有音频,0.5469
[SD]rightnow tv (720p),https://stream1.freetv.fun/rightnow-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/27/large/20220527020526894544_12.png,0.856,未分组,h264,1280x720,29.97002997002997,有音频,0.6562
[HD]tvs classic sports,https://stream1.freetv.fun/tvs-classic-sports-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/22/20170222125202753389_78.jpg,1.516,未分组,h264,1280x720,25.0,有音频,0.6094
[HD]tv9 telugu,https://stream1.freetv.fun/tv9-telugu-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/11/13/large/20211113231451135104_32.png,1.509,未分组,h264,1280x720,25.0,有音频,0.5938
å®‰å¾½é»Ÿå¿è¥¿é€’ç‰ŒåŠ,https://gcalic.v.myalicdn.com/gc/yxxdpf_1/index.m3u8,网络源,,3.550,未分组,h264,1280x720,25.0,有音频,0.4219
[HD]cctv14,https://stream1.freetv.fun/cctv14-34.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001539178535_27.png,6.084,未分组,h264,1280x720,25.0,有音频,0.4219
[BD]cctv17,https://stream1.freetv.fun/cctv17-45.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001508671387_16.jpg,3.567,未分组,h264,1920x1080,25.0,有音频,0.0
[BD]africa 24,https://stream1.freetv.fun/africa-24-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104534160761_51.png,6.085,未分组,h264,1920x1080,50.0,有音频,0.625
[SD]cbc[geo-blocked],https://stream1.freetv.fun/cbc-1.ctv,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174234972704_14.png,1.499,未分组,h264,1280x720,25.0,有音频,0.625
[BD]ช่อง bein sports xtra,https://stream1.freetv.fun/ch-ng-bein-sports-xtra-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/06/10/large/20240610200314603206_72.png,3.408,未分组,h264,426x240,29.97002997002997,有音频,0.625
[SD]феникс plus кино,https://stream1.freetv.fun/feniks-plus-kino-2.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,2.244,未分组,h264,720x576,25.0,有音频,0.4688
[SD]bridge tv фрэш,https://stream1.freetv.fun/bridge-tv-fresh-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506175000792370_26.png,2.068,未分组,h264,720x576,25.0,有音频,0.7031
[BD]bloomberg originals[geo-blocked],https://stream1.freetv.fun/bloomberg-originals-3.ctv,网络源,https://epg.pw/media/images/channel/2022/11/22/large/20221122143643242989_22.png,5.249,未分组,h264,384x216,29.97002997002997,有音频,0.6719
[HD]cbs news bay area,https://stream1.freetv.fun/cbs-news-bay-area-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,1.487,未分组,h264,1280x720,25.0,有音频,0.6875
[BD]action (fr) *s[geo-blocked],https://stream1.freetv.fun/action---s-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821112638002374_89.png,3.146,未分组,h264,1920x1080,59.94005994005994,有音频,0.625
[BD]meltem tv,https://stream1.freetv.fun/meltem-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,5.361,未分组,h264,1920x1080,25.0,有音频,0.4688
[SD]television caribbean (1080p),https://stream1.freetv.fun/television-caribbean-2.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,4.463,未分组,h264,1280x720,29.97002997002997,有音频,0.4531
[BD]babyfirst,https://stream1.freetv.fun/babyfirst-2.m3u8,网络源,https://epg.pw/media/img/logo/1_448.jpg,6.246,未分组,h264,1920x1080,25.0,有音频,0.6562
[HD]24horas ᴴᴰ,https://stream1.freetv.fun/24horas-hd-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/05/30/20140530203649216498_76.png,2.719,未分组,h264,640x360,25.0,有音频,0.3125
[SD]bbc america ==[geo-blocked],https://stream1.freetv.fun/bbc-america-3.ctv,网络源,https://epg.pw/media/images/channel/2020/06/04/large/20200604225821916068_55.png,1.221,未分组,h264,960x540,29.97002997002997,有音频,0.6094
[SD]gem shopping network (720p),https://stream1.freetv.fun/gem-shopping-network-3.m3u8,网络源,https://epg.pw/media/,2.895,未分组,h264,1920x1080,29.97002997002997,有音频,0.5156
[BD]9x jalwa[geo-blocked],https://stream1.freetv.fun/9x-jalwa-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506163110188797_84.png,2.421,未分组,h264,1920x1080,25.0,有音频,0.6719
[BD]asianet,https://stream1.freetv.fun/asianet-1.ctv,网络源,https://epg.pw/media/img/logo/Asia_net.PNG,5.822,未分组,h264,1920x1080,25.0,有音频,0.375
[VGA]btv,https://stream1.freetv.fun/btv-2.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/26/large/20210626150218508620_73.png,1.517,未分组,h264,1280x720,25.0,有音频,0.7812
[BD]big time plus,https://stream1.freetv.fun/big-time-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,1.589,未分组,h264,1280x720,25.0,有音频,0.6406
[BD]cctv15hd,https://stream1.freetv.fun/cctv15hd-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001529466715_75.png,0.737,未分组,h264,1920x1080,25.0,有音频,0.5781
äº‘å—å¤§ç†å´‡åœ£å¯ºä¸‰å¡”è¿œæ™¯,https://gcalic.v.myalicdn.com/gc/dlst01_1/index.m3u8,网络源,,3.285,未分组,h264,1280x720,25.0,有音频,0.5625
[HD]hell's kitchen,https://stream1.freetv.fun/hell-s-kitchen-6.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,1.547,未分组,h264,1280x720,25.0,有音频,0.5469
[HD]cbs (wcbs) new york,https://stream1.freetv.fun/cbs--new-york-2.ctv,网络源,https://epg.pw/media/images/channel/2017/09/17/large/20170917225055829014_84.jpg,4.360,未分组,h264,640x360,29.97002997002997,有音频,0.375
[SD]baby shark tv (720p),https://stream1.freetv.fun/baby-shark-tv-5.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/04/large/20240404170401338457_35.png,2.093,未分组,h264,1280x720,29.97002997002997,有音频,0.5625
[HD]animal planet ==,https://stream1.freetv.fun/animal-planet-4.ctv,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128061020658752_30.png,1.360,未分组,h264,1280x720,59.94005994005994,有音频,0.1094
[BD]cctv11,https://stream1.freetv.fun/cctv11-8.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001605278776_41.png,2.550,未分组,h264,1920x1080,25.0,有音频,0.5
[HD]world billiards,https://stream1.freetv.fun/world-billiards-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/12/24/large/20221224210657687848_92.jpeg,1.679,未分组,h264,1280x720,25.0,有音频,0.75
[BD]mlb network[geo-blocked],https://stream1.freetv.fun/mlb-network-4.ctv,网络源,https://epg.pw/media/images/channel/2017/09/17/large/20170917225055829014_84.jpg,1.563,未分组,h264,1280x720,25.0,有音频,0.4062
[HD]astro欢喜,https://stream1.freetv.fun/astrohuan-xi-6.ctv,网络源,https://epg.pw/media/images/channel/2024/04/17/large/20240417171639594544_91.jpg,2.117,未分组,h264,1280x720,25.0,有音频,0.7969
å…«é‡Œæ²Ÿé£æ™¯åŒºå¤©ç•Œå±±ç»ç’ƒæ ˆé“,https://gcalic.v.myalicdn.com/gc/blg03_1/index.m3u8,网络源,,3.354,未分组,h264,1920x1080,25.0,有音频,0.2344
[BD]gem shopping network,https://stream1.freetv.fun/gem-shopping-network-1.m3u8,网络源,https://epg.pw/media/,1.332,未分组,h264,1280x720,25.0,有音频,0.625
[BD]berita rtm[geo-blocked],https://stream1.freetv.fun/berita-rtm-1.m3u8,网络源,https://epg.pw/media/images/channel/2020/01/17/large/20200117235234993475_81.PNG,1.506,未分组,h264,1280x720,25.0,有音频,0.3281
[HD]newport beach television (720p),https://stream1.freetv.fun/newport-beach-television-2.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,1.066,未分组,h264,1280x720,25.0,有音频,0.2812
[HD]altas tv,https://stream1.freetv.fun/altas-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/12/29/20161229025118759034_34.jpg,3.743,未分组,h264,1280x720,25.0,有音频,0.6562
[HD]people are awesome,https://stream1.freetv.fun/people-are-awesome-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/11/28/large/20231128184149398211_42.png,1.497,未分组,h264,1280x720,25.0,有音频,0.3125
[HD]news 24,https://stream1.freetv.fun/news-24-1.m3u8,网络源,https://epg.pw/media/images/channel/2024/03/13/large/20240313191616421716_57.png,9.045,未分组,h264,1280x720,25.0,有音频,0.375
[HD]cctv-12,https://stream1.freetv.fun/cctv-12-12.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001556307504_11.png,4.713,未分组,h264,1280x720,25.0,有音频,0.5625
[HD]rtv 1,https://stream1.freetv.fun/rtv-1-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/06/13/20140613181355730492_95.png,1.318,未分组,h264,1280x720,25.0,有音频,0.5312
[BD]akc tv,https://stream1.freetv.fun/akc-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/02/10/large/20220210222026702209_76.png,1.497,未分组,h264,1280x720,25.0,有音频,0.6406
[VGA]astro one *v[geo-blocked],https://stream1.freetv.fun/astro-one--v-1.ctv,网络源,https://epg.pw/media/images/channel/2023/11/25/large/20231125160234587911_20.jpg,3.298,未分组,h264,854x480,25.0,有音频,0.5156
[HD]abc tv tas[geo-blocked],https://stream1.freetv.fun/abc-tv-tas-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/01/15/large/20230115224949705896_56.png,11.842,未分组,h264,1280x720,25.0,有音频,0.3906
[HD]cctv-8,https://stream1.freetv.fun/cctv-8-14.ctv,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128055557713287_44.png,4.544,未分组,h264,1280x720,25.0,有音频,0.3906
[BD]boomerang *m[geo-blocked],https://stream1.freetv.fun/boomerang--m-2.ctv,网络源,https://epg.pw/media/images/channel/2025/01/30/large/20250130005610442704_21.png,2.855,未分组,h264,1920x1080,25.0,有音频,0.4531
[SD]baby tv *wj,https://stream1.freetv.fun/baby-tv--wj-1.m3u8,网络源,https://epg.pw/media/img/logo/1_448.jpg,1.877,未分组,h264,960x540,25.0,有音频,0.6875
[HD]cctv1,https://stream1.freetv.fun/cctv1-90.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001359645907_15.png,4.874,未分组,h264,1280x720,25.0,有音频,0.4531
[HD]baby shark tv,https://stream1.freetv.fun/baby-shark-tv-4.m3u8,网络源,https://epg.pw/media/images/channel/2024/04/04/large/20240404170401338457_35.png,1.257,未分组,h264,1280x720,29.97002997002997,有音频,0.5625
[HD]tvs flashback network,https://stream1.freetv.fun/tvs-flashback-network-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173927407964_76.png,1.508,未分组,h264,1280x720,25.0,有音频,0.4062
[BD]btn tv,https://stream1.freetv.fun/btn-tv-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/12/24/large/20221224163818740665_45.jpeg,1.591,未分组,h264,1280x720,25.0,有音频,0.5938
[HD]c plus,https://stream1.freetv.fun/c-plus-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806135716055628_86.jpg,2.317,未分组,h264,1280x720,25.0,有音频,0.5469
[HD]animal planet =,https://stream1.freetv.fun/animal-planet-12.ctv,网络源,https://epg.pw/media/images/channel/2025/01/28/large/20250128061020658752_30.png,1.275,未分组,h264,1280x720,59.94005994005994,有音频,0.5625
[BD]cctv1,https://stream1.freetv.fun/cctv1-23.m3u8,网络源,https://epg.pw/media/images/channel/2024/05/16/large/20240516043525045887_55.png,1.502,未分组,h264,1280x720,25.0,有音频,0.0
[BD]cctv1,https://stream1.freetv.fun/cctv1-35.ctv,网络源,https://epg.pw/media/images/channel/2024/05/16/large/20240516043525045887_55.png,1.546,未分组,h264,1280x720,25.0,有音频,0.0
