频道名,地址,来源,图标,检测时间,分组,视频编码,分辨率,帧率,音频,相似度
[HD]al kass qatar 2,https://stream1.freetv.fun/al-kass-qatar-2-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821061333482711_51.jpg,4.992,未分组,h264,1280x720,25.0,有音频,0.6406
[BD]cctv4,https://stream1.freetv.fun/cctv4-84.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001925822086_33.png,5.339,未分组,hevc,1920x1080,25.0,有音频,0.0
æµ™æ±Ÿ-ä¹Œé•‡è¥¿å¸‚æ²³,https://gcalic.v.myalicdn.com/gc/zjwzbblh_1/index.m3u8?contentid=2820180516001,网络源,,2.836,未分组,h264,1280x720,25.0,有音频,0.8125
[BD]band sports,https://stream1.freetv.fun/band-sports-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/11/05/large/20231105222730944950_63.png,1.544,未分组,h264,1280x720,25.0,有音频,0.6094
[BD]monte carlo digital television (1080p),https://stream1.freetv.fun/monte-carlo-digital-television-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,2.873,未分组,h264,1920x1080,30.0,有音频,0.4375
[BD]al arabiya,https://stream1.freetv.fun/al-arabiya-3.m3u8,网络源,https://epg.pw/media/img/logo/AL_Arabiya.PNG,7.106,未分组,h264,1920x1080,25.0,有音频,0.5938
[HD]aleph news,https://stream1.freetv.fun/aleph-news-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003507896414_93.png,6.717,未分组,h264,640x360,50.0,有音频,0.6719
[BD]cctv13-gq,https://stream1.freetv.fun/cctv13-gq-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001548035027_74.png,4.925,未分组,h264,1920x1080,50.0,有音频,0.0
é»„èŠ±åŸæ°´é•¿åŸ02,http://gctxyc.liveplay.myqcloud.com/gc/wgw02_1/index.m3u8,网络源,,3.488,未分组,h264,1920x1080,25.0,有音频,0.3281
[VGA]amazing discoveries tv (720p),https://stream1.freetv.fun/amazing-discoveries-tv-4.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174937066691_54.png,2.337,未分组,h264,480x270,30.0,有音频,0.5469
[VGA]ช่อง billiards plus[geo-blocked],https://stream1.freetv.fun/ch-ng-billiards-plus-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/12/24/large/20221224210657687848_92.jpeg,7.027,未分组,h264,1920x1080,25.0,有音频,0.4531
[BD]berita rtm[geo-blocked],https://stream1.freetv.fun/berita-rtm-2.m3u8,网络源,https://epg.pw/media/images/channel/2020/01/17/large/20200117235234993475_81.PNG,1.506,未分组,h264,1280x720,25.0,有音频,0.5625
[BD]cctv2-gq,https://stream1.freetv.fun/cctv2-gq-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001945876001_87.png,4.918,未分组,h264,1920x1080,50.0,有音频,0.0
[BD]voice of america,https://stream1.freetv.fun/voice-of-america-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174407806332_73.png,1.361,未分组,h264,1920x1080,25.0,有音频,0.7031
äº‘å—ä¸½æ±Ÿç‰é¾™é›ªå±±,https://gcalic.v.myalicdn.com/gc/ylxs11_1/index.m3u8,网络源,,2.934,未分组,h264,1280x720,25.0,有音频,0.9375
æµ™æ±Ÿ-ä¹Œé•‡è“å°èŠ±å¸ƒ,https://gcalic.v.myalicdn.com/gc/zjwzlyhb_1/index.m3u8?contentid=2820180516001,网络源,,3.067,未分组,h264,1280x720,25.0,有音频,0.2344
[VGA]bloomberg tv europe,https://stream1.freetv.fun/bloomberg-tv-europe-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/11/22/large/20221122143643242989_22.png,2.923,未分组,h264,384x216,29.97002997002997,有音频,0.5781
[BD]viju plus megahit,https://stream1.freetv.fun/viju-plus-megahit-2.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,2.728,未分组,h264,1920x1080,25.0,有音频,0.5938
[SD]bridge tv шлягер,https://stream1.freetv.fun/bridge-tv-shliager-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506175000792370_26.png,2.231,未分组,h264,720x576,25.0,有音频,0.3594
[BD]arirang,https://stream1.freetv.fun/arirang-15.m3u8,网络源,https://epg.pw/media/images/channel/2021/01/02/large/20210102201441051240_32.png,6.892,未分组,h264,1920x1080,29.97002997002997,有音频,0.6094
æ¸ å¿æ–°é—»ç»¼åˆ,http://183.222.248.153:81/hls/cfp2p8m3.m3u8,网络源,,2.392,未分组,h264,1280x720,25.0,有音频,0.8125
[BD]cctv4,https://stream1.freetv.fun/cctv4-13.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001925822086_33.png,6.010,未分组,h264,1920x1080,25.0,有音频,0.5
[BD]al jazeera العربية,https://stream1.freetv.fun/al-jazeera-l-rby-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/09/04/large/20230904160018056594_85.png,7.020,未分组,h264,426x240,25.0,有音频,0.5156
[BD]cctv1,https://stream1.freetv.fun/cctv1-38.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001359645907_15.png,4.082,未分组,h264,1920x1080,25.0,有音频,0.6562
[BD]al jazeera,https://stream1.freetv.fun/al-jazeera-6.m3u8,网络源,https://epg.pw/media/images/channel/2023/09/04/large/20230904160018056594_85.png,3.543,未分组,h264,426x240,25.0,有音频,0.5938
[BD]al sharqiya,https://stream1.freetv.fun/al-sharqiya-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174746429595_47.png,1.518,未分组,h264,1280x720,25.0,有音频,0.5938
[BD]alsharqiya,https://stream1.freetv.fun/alsharqiya-1.m3u8,网络源,https://epg.pw/media/img/logo/2013/10/30/8edf68fca605a7b93c190c26e55838a3.png,1.551,未分组,h264,1280x720,25.0,有音频,0.4844
[SD]cbs news minnesota (720p),https://stream1.freetv.fun/cbs-news-minnesota-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,3.869,未分组,h264,1280x720,29.97002997002997,有音频,0.5156
[HD]hell's kitchen,https://stream1.freetv.fun/hell-s-kitchen-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,1.504,未分组,h264,1280x720,25.0,有音频,0.4531
[VGA]kto,https://stream1.freetv.fun/kto-4.m3u8,网络源,https://epg.pw/media/images/channel/2024/11/11/large/20241111003555433916_83.png,1.502,未分组,h264,1280x720,25.0,有音频,0.5469
[HD]cctv4,https://stream1.freetv.fun/cctv4-33.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001917639668_91.png,1.058,未分组,h264,1280x720,25.0,有音频,0.4688
[HD]cctv11[geo-blocked],https://stream1.freetv.fun/cctv11-27.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001605278776_41.png,4.880,未分组,h264,1280x720,25.0,有音频,0.4688
æ–°ç–†å¤©å±±(å®šæµ·ç¥é’ˆ),https://gcalic.v.myalicdn.com/gc/xjtcdhsz_1/index.m3u8,网络源,,3.243,未分组,h264,1920x1080,25.0,有音频,0.3906
[BD]al jazeera mubasher,https://stream1.freetv.fun/al-jazeera-mubasher-4.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174154957657_95.png,1.523,未分组,h264,1280x720,25.0,有音频,0.625
[BD]arirang,https://stream1.freetv.fun/arirang-24.m3u8,网络源,https://epg.pw/media/images/channel/2021/01/02/large/20210102201441051240_32.png,1.529,未分组,h264,1280x720,25.0,有音频,0.7969
[VGA]america tv alt,https://stream1.freetv.fun/america-tv-alt-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174407806332_73.png,1.955,未分组,h264,854x480,30.0,有音频,0.4219
[SD]shopping live,https://stream1.freetv.fun/shopping-live-2.m3u8,网络源,https://epg.pw/media/,1.506,未分组,h264,1280x720,25.0,有音频,0.4062
[BD]cctv14hd,https://stream1.freetv.fun/cctv14hd-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001539178535_27.png,0.726,未分组,h264,1920x1080,25.0,有音频,0.0
[HD]al horreya tv,https://stream1.freetv.fun/al-horreya-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/04/21/20170421053628262694_69.jpg,3.169,未分组,h264,1280x720,30.0,有音频,0.5938
[BD]cctv16hd,https://stream1.freetv.fun/cctv16hd-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001520864227_20.jpg,0.706,未分组,h264,1920x1080,25.0,有音频,0.4062
[BD]iqraa africa europe (1080p),https://stream1.freetv.fun/iqraa-africa-europe-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104534160761_51.png,10.885,未分组,h264,640x360,25.0,有音频,0.6562
[HD]fresh news,https://stream1.freetv.fun/fresh-news-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174911048523_97.png,2.810,未分组,h264,1280x720,50.0,有音频,0.6719
[HD]azteca honduras,https://stream1.freetv.fun/azteca-honduras-1.m3u8,网络源,https://epg.pw/media/images/channel/2015/11/02/large/20151102132149132569_55.jpg,1.849,未分组,h264,1280x720,30.0,有音频,0.5
æ¹–å—å¼ å®¶ç•Œå°†å†›åˆ—é˜Ÿ,https://gcalic.v.myalicdn.com/gc/zjjjjdl_1/index.m3u8,网络源,,3.056,未分组,h264,1280x720,25.0,有音频,0.5469
[SD]biz tv (1080p),https://stream1.freetv.fun/biz-tv-3.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/12/14/20151214024323374879_30.png,2.111,未分组,h264,1920x1080,29.97002997002997,有音频,0.5469
[SD]99tv,https://stream1.freetv.fun/99tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/11/13/large/20211113231451135104_32.png,9.897,未分组,h264,424x240,25.0,有音频,0.6875
[HD]abc news live 5,https://stream1.freetv.fun/abc-news-live-5-4.m3u8,网络源,https://epg.pw/media/,1.312,未分组,h264,1280x720,29.97002997002997,有音频,0.7812
[SD]bek tv news (720p),https://stream1.freetv.fun/bek-tv-news-3.m3u8,网络源,https://epg.pw/media/images/channel/2021/06/26/large/20210626150218508620_73.png,2.609,未分组,h264,320x240,29.97002997002997,有音频,0.4062
[SD]bfm tv,https://stream1.freetv.fun/bfm-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821105035822912_56.jpg,1.505,未分组,h264,1280x720,25.0,有音频,0.3594
[BD]arirang tv,https://stream1.freetv.fun/arirang-tv-5.m3u8,网络源,https://epg.pw/media/images/channel/2021/01/02/large/20210102201441051240_32.png,1.496,未分组,h264,1280x720,25.0,有音频,0.5
[SD]big tv,https://stream1.freetv.fun/big-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/27/large/20220527020526894544_12.png,9.897,未分组,h264,424x240,25.0,有音频,0.5781
[SD]racing america (720p),https://stream1.freetv.fun/racing-america-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174407806332_73.png,2.594,未分组,h264,426x240,29.97002997002997,有音频,0.5781
[SD]bmc-hd tv,https://stream1.freetv.fun/bmc-hd-tv-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/09/01/20170901015115557731_96.jpg,4.725,未分组,h264,416x234,29.97002997002997,有音频,0.5
[BD]cctv1,https://stream1.freetv.fun/cctv1-71.ctv,网络源,https://epg.pw/media/images/channel/2024/05/16/large/20240516043525045887_55.png,1.501,未分组,h264,1280x720,25.0,有音频,0.0
[BD]kanal hayat,https://stream1.freetv.fun/kanal-hayat-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/07/17/20150717055453263471_21.jpg,1.350,未分组,h264,1280x720,25.0,有音频,0.7812
[HD]cctv-4 asia,https://stream1.freetv.fun/cctv-4-asia-1.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125013114796464_35.png,5.324,未分组,h264,1280x720,25.0,有音频,0.4688
[HD]atlanta channel,https://stream1.freetv.fun/atlanta-channel-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106151538465454_86.png,1.535,未分组,h264,1280x720,25.0,有音频,0.3281
[BD]new brasil,https://stream1.freetv.fun/new-brasil-2.m3u8,网络源,https://epg.pw/media/,1.513,未分组,h264,1280x720,25.0,有音频,0.7188
[BD]香港c plus,https://stream1.freetv.fun/xiang-gang-c-plus-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806135716055628_86.jpg,5.311,未分组,h264,1920x1080,25.0,有音频,0.6719
[HD]cctv15,https://stream1.freetv.fun/cctv15-64.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001529466715_75.png,4.829,未分组,h264,1280x720,25.0,有音频,0.4844
[HD]bbc three,https://stream1.freetv.fun/bbc-three-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174754485806_60.png,2.507,未分组,h264,1280x720,50.0,有音频,0.3438
è¥ç»ç»¼åˆ,https://m3u8channel-yj.yunxya.com/nmip-media/channellive/channel101140/playlist.m3u8,网络源,,4.227,未分组,h264,1920x1080,,有音频,0.5469
[SD]bravo plus 1,https://stream1.freetv.fun/bravo-plus-1-2.m3u8,网络源,https://epg.pw/media/images/channel/2023/02/12/large/20230212225528892223_79.png,3.933,未分组,h264,640x360,25.0,有音频,0.4062
[SD]nolly africa [geo-blocked],https://stream1.freetv.fun/nolly-africa-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821104534160761_51.png,4.482,未分组,h264,,,有音频,0.375
[HD]bibel tv,https://stream1.freetv.fun/bibel-tv-3.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173736374467_66.png,1.858,未分组,h264,1280x720,25.0,有音频,0.625
é»„é¾™,https://gcalic.v.myalicdn.com/gc/hlzycc_1/index.m3u8,网络源,,3.020,未分组,h264,1920x1080,25.0,有音频,0.9375
[SD]boomerang (fr) *s[geo-blocked],https://stream1.freetv.fun/boomerang---s-1.m3u8,网络源,https://epg.pw/media/images/channel/2020/03/20/large/20200320170406546948_74.png,2.660,未分组,h264,960x540,29.97002997002997,有音频,0.4844
[HD]al hurra,https://stream1.freetv.fun/al-hurra-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173758528361_28.png,1.317,未分组,h264,1280x720,25.0,有音频,0.7188
[SD]alfa ⓢ,https://stream1.freetv.fun/alfa-s-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174016766543_32.png,4.165,未分组,h264,1024x576,25.0,有音频,0.5156
[BD]cctv2,https://stream1.freetv.fun/cctv2-50.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001945876001_87.png,2.533,未分组,h264,1920x1080,25.0,有音频,0.0
[BD]cctv13,https://stream1.freetv.fun/cctv13-5.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001548035027_74.png,1.502,未分组,h264,1280x720,25.0,有音频,0.4219
[SD]bloomberg ==,https://stream1.freetv.fun/bloomberg-5.ctv,网络源,https://epg.pw/media/images/channel/2022/11/22/large/20221122143643242989_22.png,1.181,未分组,h264,960x540,29.97002997002997,有音频,0.4688
[HD]billiard tv,https://stream1.freetv.fun/billiard-tv-9.m3u8,网络源,https://epg.pw/media/images/channel/2022/12/24/large/20221224210657687848_92.jpeg,1.561,未分组,h264,1280x720,25.0,有音频,0.6562
æ³°å±±åå…«ç›˜,https://gcalic.v.myalicdn.com/gc/taishan05_1/index.m3u8,网络源,,3.136,未分组,h264,1920x1080,25.0,有音频,0.2812
[SD]aftab,https://stream1.freetv.fun/aftab-2.m3u8,网络源,https://epg.pw/media/,1.584,未分组,h264,1280x720,25.0,有音频,0.5469
[HD]thrillers 365,https://stream1.freetv.fun/thrillers-365-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/04/01/large/20220401234506250664_19.png,2.172,未分组,h264,426x240,30.0,有音频,0.625
[HD]abc tv sa[geo-blocked],https://stream1.freetv.fun/abc-tv-sa-1.m3u8,网络源,https://epg.pw/media/images/channel/2023/01/15/large/20230115224949705896_56.png,9.848,未分组,h264,1280x720,25.0,有音频,0.4844
[VGA]canal savoir,https://stream1.freetv.fun/canal-savoir-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/25/large/20220525022138110323_98.png,2.678,未分组,h264,640x360,24.0,有音频,0.5156
[BD]12 канал,https://stream1.freetv.fun/12-kanal-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2014/05/30/20140530164557133957_14.png,1.529,未分组,h264,1280x720,25.0,有音频,0.4531
[SD]cctv2,https://stream1.freetv.fun/cctv2-51.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001945876001_87.png,4.030,未分组,h264,1024x576,25.0,有音频,0.5938
[SD]cbs news miami (720p),https://stream1.freetv.fun/cbs-news-miami-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,2.185,未分组,h264,320x180,29.97002997002997,有音频,0.5
[VGA]bloomberg ht,https://stream1.freetv.fun/bloomberg-ht-7.m3u8,网络源,https://epg.pw/media/images/channel/2015/10/23/large/20151023071922365811_82.jpg,7.229,未分组,h264,640x360,25.0,有音频,0.5312
[HD]abc news live 8,https://stream1.freetv.fun/abc-news-live-8-3.m3u8,网络源,https://epg.pw/media/,1.309,未分组,h264,1280x720,29.97002997002997,有音频,0.3906
[BD]cctv17,https://stream1.freetv.fun/cctv17-5.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001508671387_16.jpg,5.200,未分组,h264,1920x1080,50.0,有音频,0.25
[HD]tatai tv,https://stream1.freetv.fun/tatai-tv-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2017/02/16/20170216061058520639_81.png,1.515,未分组,h264,1280x720,25.0,有音频,0.625
[BD]al alaraby,https://stream1.freetv.fun/al-alaraby-2.m3u8,网络源,https://epg.pw/media/img/logo/AL_Arabiya.PNG,10.992,未分组,h264,426x240,25.0,有音频,0.2031
[BD]al-sharqiya news,https://stream1.freetv.fun/al-sharqiya-news-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174746429595_47.png,1.323,未分组,h264,1280x720,25.0,有音频,0.5
[BD]cctv4,https://stream1.freetv.fun/cctv4-6.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001917639668_91.png,4.252,未分组,h264,1920x1080,25.0,有音频,0.4062
[BD]samuel goldwyn films,https://stream1.freetv.fun/samuel-goldwyn-films-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174725923216_74.png,6.784,未分组,h264,1920x1080,29.97002997002997,有音频,0.625
[BD]asharq news[geo-blocked],https://stream1.freetv.fun/asharq-news-2.m3u8,网络源,https://epg.pw/media/img/logo/2013/10/30/8edf68fca605a7b93c190c26e55838a3.png,1.539,未分组,h264,1280x720,25.0,有音频,0.5
è´µå·çœå…´ä¹‰å¸‚ä¸‡å³°æ—,https://gcalic.v.myalicdn.com/gc/xywfl_1/index.m3u8,网络源,,2.767,未分组,h264,1280x720,25.0,有音频,0.4688
[BD]cctv12-gq,https://stream1.freetv.fun/cctv12-gq-1.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001556307504_11.png,5.278,未分组,h264,1920x1080,50.0,有音频,0.0
[BD]cctv15[geo-blocked],https://stream1.freetv.fun/cctv15-91.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001529466715_75.png,4.997,未分组,h264,1920x1080,50.0,有音频,0.0
[SD]cctv-13[geo-blocked],https://stream1.freetv.fun/cctv-13-21.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001548035027_74.png,16.255,未分组,h264,720x576,25.0,有音频,0.5469
[BD]news 24,https://stream1.freetv.fun/news-24-2.m3u8,网络源,https://epg.pw/media/images/channel/2024/03/13/large/20240313191616421716_57.png,3.220,未分组,h264,1920x1080,30.0,有音频,0.7031
[HD]cctv12,https://stream1.freetv.fun/cctv12-47.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001556307504_11.png,4.952,未分组,h264,1280x720,25.0,有音频,0.5469
[SD]cbs network =,https://stream1.freetv.fun/cbs-network-3.ctv,网络源,https://epg.pw/media/images/channel/2017/09/17/large/20170917225055829014_84.jpg,1.150,未分组,h264,960x540,29.97002997002997,有音频,0.5938
[HD]abc news live 9,https://stream1.freetv.fun/abc-news-live-9-1.m3u8,网络源,https://epg.pw/media/,1.243,未分组,h264,1280x720,29.97002997002997,有音频,0.7656
[SD]zee bollywood,https://stream1.freetv.fun/zee-bollywood-2.ctv,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506164739314866_74.png,5.799,未分组,h264,704x576,25.0,有音频,0.625
é•¿å®ç»¼åˆ,http://cnpull.sccnfb.com/live/123456.m3u8?zsicd,网络源,,2.325,未分组,h264,1920x1080,30.0,有音频,0.6875
[SD]baran,https://stream1.freetv.fun/baran-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821091130684147_45.png,1.532,未分组,h264,1280x720,25.0,有音频,0.6875
[SD]abadan[geo-blocked],https://stream1.freetv.fun/abadan-1.m3u8,网络源,https://epg.pw/media/,1.530,未分组,h264,1280x720,25.0,有音频,0.4688
[HD]astro awani,https://stream1.freetv.fun/astro-awani-15.m3u8,网络源,https://epg.pw/media/images/channel/2023/06/02/large/20230602231401396043_82.jpg,1.546,未分组,h264,1280x720,25.0,有音频,0.5469
[BD]oneplanet hd,https://stream1.freetv.fun/oneplanet-1.ctv,网络源,https://epg.pw/media/images/channel/2021/06/24/large/20210624003447280269_10.png,5.620,未分组,h264,1920x1080,25.0,有音频,0.6406
[HD]fifa plus germany[geo-blocked],https://stream1.freetv.fun/fifa-plus-germany-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,3.661,未分组,h264,1280x720,29.97002997002997,有音频,0.3438
[BD]surfing plus,https://stream1.freetv.fun/surfing-plus-2.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,1.499,未分组,h264,1280x720,25.0,有音频,0.5781
[HD]parnian tv,https://stream1.freetv.fun/parnian-tv-1.m3u8,网络源,https://epg.pw/media/images/channel/2021/01/02/large/20210102201441051240_32.png,1.504,未分组,h264,1280x720,25.0,有音频,0.5938
[SD]action drama,https://stream1.freetv.fun/action-drama-1.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/08/21/20150821112638002374_89.png,3.856,未分组,h264,426x240,30.0,有音频,0.625
é»„å±±é£æ¥çŸ³,https://gcalic.v.myalicdn.com/gc/hsptgy_1/index.m3u8,网络源,,3.040,未分组,h264,1920x1080,25.0,有音频,0.375
[SD]bridge tv rock,https://stream1.freetv.fun/bridge-tv-rock-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506175000792370_26.png,2.805,未分组,h264,720x576,25.0,有音频,0.6406
[BD]brat tv,https://stream1.freetv.fun/brat-tv-2.m3u8,网络源,https://epg.pw/media/,1.505,未分组,h264,1280x720,25.0,有音频,0.6094
[HD]30a the beach show,https://stream1.freetv.fun/30a-the-beach-show-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106151553228539_89.png,1.590,未分组,h264,1280x720,25.0,有音频,0.5312
[BD]9x tashan,https://stream1.freetv.fun/9x-tashan-1.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506164732623933_11.png,1.512,未分组,h264,1280x720,25.0,有音频,0.6562
[HD]bbc persian,https://stream1.freetv.fun/bbc-persian-2.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2016/01/18/20160118205636517119_29.jpg,16.292,未分组,h264,1280x720,50.0,有音频,0.5938
[BD]biz tv,https://stream1.freetv.fun/biz-tv-4.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/12/14/20151214024323374879_30.png,1.320,未分组,h264,1920x1080,29.97002997002997,有音频,0.7031
[HD]cbs news texas,https://stream1.freetv.fun/cbs-news-texas-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,1.503,未分组,h264,1280x720,25.0,有音频,0.6406
[HD]plus 8,https://stream1.freetv.fun/plus-8-1.ctv,网络源,https://epg.pw/media/images/channel/2022/08/06/large/20220806135716055628_86.jpg,1.517,未分组,h264,1920x800,23.976023976023978,有音频,0.3125
æ³°å±±ç¢§éœç¥,https://gcalic.v.myalicdn.com/gc/hkts03_1/index.m3u8,网络源,,2.829,未分组,h264,1280x720,25.0,有音频,0.7031
[BD]cctv3,https://stream1.freetv.fun/cctv3-53.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001936710108_56.png,2.905,未分组,hevc,1920x1080,25.0,有音频,0.9062
[HD]fifa plus (720p)[geo-blocked],https://stream1.freetv.fun/fifa-plus-1.m3u8,网络源,https://epg.pw/media/img/logo/A_PLUS.PNG,3.597,未分组,h264,1280x720,29.97002997002997,有音频,0.625
äº”å½©æ±,https://gcalic.v.myalicdn.com/gc/hlwcc_1/index.m3u8,网络源,,3.217,未分组,h264,1920x1080,25.0,有音频,0.3438
[HD]amedia premium,https://stream1.freetv.fun/amedia-premium-3.ctv,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174418957960_87.png,3.530,未分组,h264,1280x720,25.0,有音频,0.7656
[SD]hell's kitchen (1080p),https://stream1.freetv.fun/hell-s-kitchen-7.m3u8,网络源,https://epg.pw/media/uploads/tmp_logo/2015/02/13/20150213031809681089_50.jpg,8.043,未分组,h264,1920x1080,25.0,有音频,0.6562
[VGA]tvs talk network,https://stream1.freetv.fun/tvs-talk-network-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506173927407964_76.png,1.534,未分组,h264,1280x720,25.0,有音频,0.5625
[BD]cctv3,https://stream1.freetv.fun/cctv3-29.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001936710108_56.png,5.007,未分组,hevc,1920x1080,25.0,有音频,0.0
[BD]cctv4[geo-blocked],https://stream1.freetv.fun/cctv4-12.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001917639668_91.png,1.510,未分组,h264,1280x720,25.0,有音频,0.5
[SD]9 волна,https://stream1.freetv.fun/9-volna-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/05/06/large/20220506174435729977_89.png,2.777,未分组,h264,720x576,25.0,有音频,0.6875
[HD]beverly hills television 35 (720p),https://stream1.freetv.fun/beverly-hills-television-35-1.m3u8,网络源,https://epg.pw/media/images/channel/2019/01/06/large/20190106152133298331_44.png,1.082,未分组,h264,1280x720,25.0,有音频,0.5938
[BD]cctv10,https://stream1.freetv.fun/cctv10-70.ctv,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001612572151_13.png,3.275,未分组,h264,1920x1080,25.0,有音频,0.0
[SD]cbs news detroit (720p),https://stream1.freetv.fun/cbs-news-detroit-2.m3u8,网络源,https://epg.pw/media/images/channel/2022/09/21/large/20220921003134675689_79.png,3.686,未分组,h264,1280x720,29.97002997002997,有音频,0.7344
[HD]cctv2,https://stream1.freetv.fun/cctv2-35.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001945876001_87.png,5.066,未分组,h264,1280x720,25.0,有音频,0.5781
[HD]cctv1[geo-blocked],https://stream1.freetv.fun/cctv1-37.m3u8,网络源,https://epg.pw/media/images/channel/2025/01/25/large/20250125001359645907_15.png,4.035,未分组,h264,1280x720,25.0,有音频,0.6562
